run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
4194304,0.32061452,0.33861744,0.34076804
8388608,0.33897156,0.33208328,0.32894516
12582912,0.3345657,0.33009335,0.33534095
16777216,0.29672623,0.32662407,0.37664974
20971520,0.30664444,0.33665574,0.35669982
25165824,0.29901573,0.32732785,0.37365642
29360128,0.28413916,0.3540858,0.36177504
33554432,0.26712543,0.36156335,0.37131122
37748736,0.26015222,0.36820263,0.37164515
41943040,0.25150278,0.3689934,0.37950382
46137344,0.2383489,0.39396983,0.36768126
50331648,0.21963912,0.403652,0.3767089
54525952,0.20316152,0.41983467,0.3770038
58720256,0.20348501,0.43522897,0.36128598
62914560,0.19987047,0.45883906,0.34129053
67108864,0.2101088,0.45922142,0.33066976
71303168,0.2045914,0.47245973,0.32294887
75497472,0.2099284,0.4682387,0.3218329
79691776,0.21927896,0.466961,0.31376004
83886080,0.23273842,0.47337437,0.29388723
88080384,0.24031477,0.4703756,0.2893096
92274688,0.21538305,0.5111511,0.27346593
96468992,0.22472017,0.51030266,0.26497722
100663296,0.19773644,0.5477052,0.25455835
104857600,0.20943101,0.53031397,0.26025504
109051904,0.1946936,0.5511708,0.25413555
113246208,0.18941708,0.55670357,0.2538793
117440512,0.1995158,0.54600036,0.25448388
121634816,0.19249053,0.5580659,0.24944359
125829120,0.19347233,0.5935012,0.21302648
130023424,0.17291638,0.6160562,0.21102744
134217728,0.1834873,0.60390115,0.21261156
138412032,0.1833786,0.58422667,0.23239473
142606336,0.2087548,0.5514415,0.2398037
146800640,0.20530273,0.5469619,0.24773535
150994944,0.18191259,0.58224666,0.23584074
155189248,0.17157874,0.6285013,0.19991994
159383552,0.15774071,0.6761112,0.16614807
163577856,0.13241488,0.7085538,0.1590313
167772160,0.11932991,0.73222876,0.14844134
171966464,0.116840824,0.73476654,0.14839262
176160768,0.13206376,0.7108911,0.15704519
180355072,0.15725508,0.62646365,0.21628132
184549376,0.19307308,0.5603124,0.24661455
188743680,0.19379936,0.55007046,0.25613022
192937984,0.18650436,0.5395022,0.27399343
197132288,0.17512693,0.5409751,0.283898
201326592,0.16783804,0.54873306,0.28342894
205520896,0.16019295,0.53042805,0.309379
209715200,0.16426104,0.5139272,0.32181174
213909504,0.1809764,0.5044558,0.3145678
218103808,0.17890005,0.4826013,0.33849865
222298112,0.20049746,0.4490955,0.35040706
226492416,0.21207719,0.4056095,0.38231337
230686720,0.24602568,0.37230286,0.3816715
234881024,0.2761206,0.3360509,0.38782853
239075328,0.2816332,0.3289589,0.3894079
243269632,0.27941597,0.32540488,0.39517918
247463936,0.28841168,0.33040297,0.38118535
251658240,0.29501605,0.32110047,0.38388348
255852544,0.30089054,0.34815818,0.35095128
260046848,0.29989657,0.36903715,0.3310663
264241152,0.29279837,0.38903365,0.31816798
268435456,0.30420667,0.38775128,0.30804205
272629760,0.3149212,0.3684621,0.3166167
276824064,0.32765633,0.3808216,0.2915221
281018368,0.30833617,0.4048156,0.2868482
285212672,0.2984529,0.40500227,0.29654482
289406976,0.28306913,0.41486,0.30207086
293601280,0.30366534,0.3922714,0.3040633
297795584,0.30923063,0.354688,0.3360814
301989888,0.3017496,0.3595088,0.3387416
306184192,0.30463573,0.34301096,0.3523533
310378496,0.32868236,0.33935177,0.33196583
314572800,0.33346668,0.34828418,0.31824917
318767104,0.32610676,0.34239012,0.33150315
322961408,0.34834433,0.33516073,0.31649494
327155712,0.35297158,0.3290938,0.31793457
331350016,0.35469902,0.32520384,0.32009715
335544320,0.3641971,0.3342722,0.30153066
339738624,0.36142287,0.32437485,0.3142023
343932928,0.3528188,0.338018,0.30916324
348127232,0.3526138,0.3370921,0.3102941
352321536,0.3391888,0.34607852,0.3147327
356515840,0.3314548,0.35735452,0.3111907
360710144,0.3327165,0.3557788,0.31150466
364904448,0.3101386,0.38626778,0.30359367
369098752,0.30310833,0.39863822,0.29825345
373293056,0.27935785,0.41944915,0.30119303
377487360,0.27268574,0.4346624,0.2926519
381681664,0.27108634,0.4359502,0.29296347
385875968,0.26011735,0.42639604,0.31348664
390070272,0.24683967,0.4406143,0.31254598
394264576,0.23653632,0.47539997,0.28806373
398458880,0.23711982,0.4750901,0.28779012
402653184,0.23662743,0.4777718,0.28560078
406847488,0.25040543,0.46251023,0.28708434
411041792,0.2604499,0.45111924,0.28843093
415236096,0.24883036,0.45671082,0.2944588
419430400,0.21990623,0.48311684,0.29697692
423624704,0.2196912,0.48674446,0.29356435
427819008,0.22692332,0.45721757,0.31585914
432013312,0.22740334,0.4757508,0.29684585
436207616,0.20799741,0.4734534,0.3185492
440401920,0.19744834,0.49201816,0.31053352
444596224,0.20206603,0.47745156,0.32048243
448790528,0.22993769,0.45196038,0.31810194
452984832,0.22316545,0.45331568,0.32351884
457179136,0.19480452,0.496861,0.30833447
461373440,0.18324596,0.48800376,0.32875025
465567744,0.17102662,0.50014365,0.32882977
469762048,0.18359104,0.49877366,0.31763533
473956352,0.20013326,0.471086,0.32878077
478150656,0.20062178,0.48594245,0.3134358
482344960,0.18464333,0.51741236,0.2979443
486539264,0.17514616,0.5013661,0.32348776
490733568,0.1731759,0.49787617,0.32894796
494927872,0.1835674,0.47021472,0.3462179
499122176,0.19265164,0.47258115,0.33476722
503316480,0.20571487,0.46829313,0.325992
