eval/total_steps,standardized_return_mean,achievements_mean
4194304,8.731149e-11,1.78515625
12582912,2.3283064e-10,1.08203125
20971520,6.1118044e-10,1.42578125
29360128,4.656613e-10,0.81640625
37748736,6.1118044e-10,1.2578125
46137344,5.820766e-10,1.7109375
54525952,3.2014214e-10,1.34765625
62914560,8.1490725e-10,1.84375
71303168,4.947651e-10,1.2578125
79691776,1.7462298e-10,1.4375
88080384,2.0372681e-10,1.1171875
96468992,3.783498e-10,1.8671875
104857600,1.7462298e-10,1.3203125
113246208,2.0372681e-10,0.7734375
121634816,4.656613e-10,1.61328125
130023424,3.783498e-10,1.4453125
138412032,2.3283064e-10,0.9375
146800640,5.529728e-10,1.390625
155189248,2.6193447e-10,1.76171875
163577856,5.820766e-10,1.765625
171966464,1.4551915e-10,1.59765625
180355072,2.3283064e-10,1.71484375
188743680,5.2386895e-10,1.484375
197132288,1.1641532e-10,1.1640625
205520896,2.910383e-10,1.14453125
213909504,3.2014214e-10,1.19921875
222298112,2.3283064e-10,1.31640625
230686720,6.9849193e-10,1.36328125
239075328,4.947651e-10,1.4765625
247463936,4.0745363e-10,1.26953125
255852544,4.0745363e-10,1.171875
264241152,6.9849193e-10,1.48828125
272629760,2.910383e-10,0.90625
281018368,5.820766e-10,1.48046875
289406976,2.0372681e-10,1.54296875
297795584,5.2386895e-10,1.3046875
306184192,4.656613e-10,1.47265625
314572800,6.693881e-10,1.84375
322961408,5.820766e-11,1.19921875
331350016,6.4028427e-10,1.55078125
339738624,3.4924597e-10,1.51171875
348127232,4.656613e-10,1.66796875
356515840,3.783498e-10,1.609375
364904448,4.3655746e-10,1.2265625
373293056,6.4028427e-10,1.38671875
381681664,4.947651e-10,1.21875
390070272,4.947651e-10,1.42578125
398458880,4.947651e-10,1.37890625
406847488,3.2014214e-10,2.01953125
415236096,9.604264e-10,2.16015625
423624704,3.2014214e-10,1.6640625
432013312,2.3283064e-10,1.7890625
440401920,4.0745363e-10,1.9375
448790528,1.7462298e-10,1.96484375
457179136,9.313226e-10,1.59375
465567744,8.731149e-11,1.69921875
473956352,3.4924597e-10,1.7734375
482344960,2.0372681e-10,1.8046875
490733568,7.2759576e-10,1.484375
499122176,3.4924597e-10,1.4140625
