eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.529728e-10,1.37890625
12582912,3.2014214e-10,1.0546875
20971520,2.0372681e-10,1.73828125
29360128,2.0372681e-10,2.890625
37748736,-2.0372681e-10,2.92578125
46137344,2.3283064e-10,2.484375
54525952,5.820766e-11,3.53515625
62914560,3.4924597e-10,3.859375
71303168,1.4551915e-10,2.36328125
79691776,5.820766e-11,2.10546875
88080384,2.910383e-10,2.36328125
96468992,2.3283064e-10,1.99609375
104857600,-2.910383e-11,2.5234375
113246208,3.4924597e-10,2.8984375
121634816,-2.910383e-11,4.83984375
130023424,7.858034e-10,6.62109375
138412032,0.01953125,7.11328125
146800640,0.6015625,8.28125
155189248,0.8046875,8.8203125
163577856,0.84765625,8.84375
171966464,0.9140625,9.1015625
180355072,0.921875,9.18359375
188743680,0.94140625,9.2734375
197132288,0.921875,9.29296875
205520896,0.94921875,9.953125
213909504,0.96875,10.62890625
222298112,0.953125,10.671875
230686720,0.921875,10.32421875
239075328,0.9609375,11.01953125
247463936,0.95703125,10.90625
255852544,0.9375,10.22265625
264241152,0.95703125,10.15625
272629760,0.9765625,10.17578125
281018368,0.9375,9.65234375
289406976,0.9140625,9.4375
297795584,0.98046875,10.03125
306184192,0.98828125,9.59375
314572800,0.97265625,10.046875
322961408,0.97265625,9.328125
331350016,0.6328125,8.484375
339738624,0.95703125,9.9765625
348127232,0.984375,10.5703125
356515840,0.9921875,10.52734375
364904448,0.984375,10.63671875
373293056,0.97265625,9.2265625
381681664,3.783498e-10,3.38671875
390070272,-7.2759576e-10,2.80078125
398458880,-2.910383e-10,2.86328125
406847488,-1.7462298e-10,2.9375
415236096,-1.1641532e-10,2.625
423624704,-3.2014214e-10,2.4453125
432013312,5.2386895e-10,3.109375
440401920,1.4551915e-10,2.58203125
448790528,1.4551915e-10,2.71484375
457179136,1.4551915e-10,2.859375
465567744,0.0,2.640625
473956352,-2.910383e-10,2.7578125
482344960,3.4924597e-10,2.52734375
490733568,0.0,2.57421875
499122176,-1.4551915e-10,2.890625
