eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.7462298e-10,1.16796875
12582912,5.820766e-11,0.953125
20971520,0.0,0.9921875
29360128,0.0,1.03125
37748736,8.731149e-11,0.9453125
46137344,1.7462298e-10,0.765625
54525952,2.910383e-11,2.78125
62914560,0.0,3.203125
71303168,5.820766e-11,2.5859375
79691776,1.7462298e-10,2.5234375
88080384,-2.910383e-10,2.66796875
96468992,-8.731149e-11,2.80859375
104857600,1.1641532e-10,2.56640625
113246208,0.0,2.625
121634816,-2.910383e-11,2.41015625
130023424,1.1641532e-10,2.375
138412032,-2.910383e-11,2.4609375
146800640,2.910383e-11,2.36328125
155189248,-1.1641532e-10,2.2734375
163577856,3.783498e-10,2.45703125
171966464,-5.820766e-11,3.1015625
180355072,-2.0372681e-10,2.984375
188743680,5.820766e-11,2.69921875
197132288,3.783498e-10,2.66796875
205520896,-1.1641532e-10,2.76953125
213909504,3.783498e-10,2.87109375
222298112,5.820766e-11,3.17578125
230686720,-5.820766e-11,2.83203125
239075328,1.7462298e-10,2.4921875
247463936,0.0,2.76171875
255852544,3.2014214e-10,2.48046875
264241152,-5.820766e-11,2.7265625
272629760,1.4551915e-10,2.25
281018368,1.4551915e-10,2.85546875
289406976,4.0745363e-10,2.23046875
297795584,0.0,2.64453125
306184192,-2.910383e-11,2.71484375
314572800,2.0372681e-10,2.7421875
322961408,-3.4924597e-10,2.4765625
331350016,1.7462298e-10,2.65625
339738624,-1.1641532e-10,2.4609375
348127232,-2.910383e-11,2.6875
356515840,-5.820766e-11,2.70703125
364904448,1.1641532e-10,2.51171875
373293056,2.910383e-11,2.51171875
381681664,-2.910383e-10,2.49609375
390070272,-1.1641532e-10,2.49609375
398458880,1.4551915e-10,2.87890625
406847488,2.3283064e-10,2.5546875
415236096,1.4551915e-10,2.609375
423624704,-4.0745363e-10,2.640625
432013312,5.820766e-11,2.93359375
440401920,1.4551915e-10,2.5859375
448790528,2.910383e-11,2.5625
457179136,-4.656613e-10,2.58984375
465567744,-2.3283064e-10,2.5078125
473956352,-8.731149e-11,2.75
482344960,2.910383e-11,2.4765625
490733568,1.7462298e-10,2.58203125
499122176,1.7462298e-10,2.4296875
