eval/total_steps,standardized_return_mean,achievements_mean
4194304,7.2759576e-10,3.51953125
25165824,4.3655746e-10,3.06640625
46137344,6.9849193e-10,2.078125
67108864,9.604264e-10,2.09765625
88080384,1.4551915e-10,2.125
109051904,1.7462298e-10,2.625
130023424,1.3969839e-09,3.5546875
150994944,5.820766e-10,3.078125
171966464,2.0372681e-09,4.91796875
192937984,-5.820766e-11,5.16796875
213909504,5.820766e-11,5.7421875
234881024,3.783498e-10,7.21484375
255852544,-3.783498e-10,4.94921875
276824064,0.0078124995,6.5234375
297795584,0.06640625,7.4453125
318767104,0.74609375,7.84375
339738624,0.96875,9.69140625
360710144,0.96484375,9.78125
381681664,0.98828125,9.83984375
402653184,0.96875,9.28125
423624704,0.99609375,9.40625
444596224,0.9921875,9.8046875
465567744,0.98828125,9.12109375
486539264,0.9921875,9.76171875
