run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
baseline_icm0+rnd0_seed1,baseline,0.0,0.0,1.0,1,3.4924596548080444e-10,1.4140625,histories/baseline_icm0+rnd0_seed1.csv,
baseline_icm0+rnd0_seed2,baseline,0.0,0.0,1.0,2,3.7834979593753815e-10,1.05859375,histories/baseline_icm0+rnd0_seed2.csv,
baseline_icm0+rnd0_seed3,baseline,0.0,0.0,1.0,3,6.984919309616089e-10,1.26171875,histories/baseline_icm0+rnd0_seed3.csv,
baseline_icm0p875+rnd0_seed1,baseline,0.875,0.0,0.12,1,8.440110832452774e-10,4.1640625,histories/baseline_icm0p875+rnd0_seed1.csv,
baseline_icm0p875+rnd0_seed2,baseline,0.875,0.0,0.12,2,0.05859375,3.80078125,histories/baseline_icm0p875+rnd0_seed2.csv,
baseline_icm0p875+rnd0_seed3,baseline,0.875,0.0,0.12,3,1.7462298274040222e-10,2.4296875,histories/baseline_icm0p875+rnd0_seed3.csv,
baseline_icm0p5+rnd0p25_seed1,baseline,0.5,0.25,0.25,1,0.0078125,10.12890625,histories/baseline_icm0p5+rnd0p25_seed1.csv,
baseline_icm0p5+rnd0p25_seed2,baseline,0.5,0.25,0.25,2,0.984375,10.12890625,histories/baseline_icm0p5+rnd0p25_seed2.csv,
baseline_icm0p5+rnd0p25_seed3,baseline,0.5,0.25,0.25,3,9.313225746154785e-10,6.296875,histories/baseline_icm0p5+rnd0p25_seed3.csv,
baseline_icm0p125+rnd0p125_seed1,baseline,0.125,0.125,0.75,1,1.076841726899147e-09,2.66015625,histories/baseline_icm0p125+rnd0p125_seed1.csv,
baseline_icm0p125+rnd0p125_seed2,baseline,0.125,0.125,0.75,2,1.4551915228366852e-10,2.0234375,histories/baseline_icm0p125+rnd0p125_seed2.csv,
baseline_icm0p125+rnd0p125_seed3,baseline,0.125,0.125,0.75,3,6.402842700481415e-10,2.5859375,histories/baseline_icm0p125+rnd0p125_seed3.csv,
baseline_icm0p625+rnd0p125_seed1,baseline,0.625,0.125,0.25,1,0.003906250931322575,6.30859375,histories/baseline_icm0p625+rnd0p125_seed1.csv,
baseline_icm0p625+rnd0p125_seed2,baseline,0.625,0.125,0.25,2,0.9296875,8.09765625,histories/baseline_icm0p625+rnd0p125_seed2.csv,
baseline_icm0p625+rnd0p125_seed3,baseline,0.625,0.125,0.25,3,-1.4551915228366852e-10,2.890625,histories/baseline_icm0p625+rnd0p125_seed3.csv,
baseline_icm0p375+rnd0p375_seed1,baseline,0.375,0.375,0.25,1,0.984375,12.671875,histories/baseline_icm0p375+rnd0p375_seed1.csv,
baseline_icm0p375+rnd0p375_seed2,baseline,0.375,0.375,0.25,2,0.99609375,11.13671875,histories/baseline_icm0p375+rnd0p375_seed2.csv,
baseline_icm0p375+rnd0p375_seed3,baseline,0.375,0.375,0.25,3,0.9921875,11.4609375,histories/baseline_icm0p375+rnd0p375_seed3.csv,
baseline_icm0p75+rnd0_seed1,baseline,0.75,0.0,0.25,1,1.7462298274040222e-10,5.5078125,histories/baseline_icm0p75+rnd0_seed1.csv,
baseline_icm0p75+rnd0_seed2,baseline,0.75,0.0,0.25,2,5.820766091346741e-11,2.4765625,histories/baseline_icm0p75+rnd0_seed2.csv,
baseline_icm0p75+rnd0_seed3,baseline,0.75,0.0,0.25,3,0.9296875,9.87890625,histories/baseline_icm0p75+rnd0_seed3.csv,
baseline_icm0p25+rnd0p5_seed1,baseline,0.25,0.5,0.25,1,1.0,13.125,histories/baseline_icm0p25+rnd0p5_seed1.csv,
baseline_icm0p25+rnd0p5_seed2,baseline,0.25,0.5,0.25,2,1.0,13.05859375,histories/baseline_icm0p25+rnd0p5_seed2.csv,
baseline_icm0p25+rnd0p5_seed3,baseline,0.25,0.5,0.25,3,1.0,13.36328125,histories/baseline_icm0p25+rnd0p5_seed3.csv,
baseline_icm0p125+rnd0p625_seed1,baseline,0.125,0.625,0.25,1,1.0,15.22265625,histories/baseline_icm0p125+rnd0p625_seed1.csv,
baseline_icm0p125+rnd0p625_seed2,baseline,0.125,0.625,0.25,2,0.96484375,13.34765625,histories/baseline_icm0p125+rnd0p625_seed2.csv,
baseline_icm0p125+rnd0p625_seed3,baseline,0.125,0.625,0.25,3,1.0,12.48828125,histories/baseline_icm0p125+rnd0p625_seed3.csv,
baseline_icm0p375+rnd0p25_seed1,baseline,0.375,0.25,0.38,1,0.984375,11.8203125,histories/baseline_icm0p375+rnd0p25_seed1.csv,
baseline_icm0p375+rnd0p25_seed2,baseline,0.375,0.25,0.38,2,0.99609375,9.86328125,histories/baseline_icm0p375+rnd0p25_seed2.csv,
baseline_icm0p375+rnd0p25_seed3,baseline,0.375,0.25,0.38,3,0.98046875,12.390625,histories/baseline_icm0p375+rnd0p25_seed3.csv,
curriculum_icm+rnd_seed1_alpha0,curriculum,0.0,0.0,1.0,1,0.984375,9.14453125,histories/curriculum_icm+rnd_seed1_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha0.csv
curriculum_icm+rnd_seed1_alpha1,curriculum,0.125,0.0,0.875,1,0.9765625,8.8984375,histories/curriculum_icm+rnd_seed1_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha1.csv
curriculum_icm+rnd_seed1_alpha2,curriculum,0.0,0.125,0.875,1,0.9921875,9.76171875,histories/curriculum_icm+rnd_seed1_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha2.csv
curriculum_icm+rnd_seed1_alpha3,curriculum,0.25,0.0,0.75,1,0.9921875,8.72265625,histories/curriculum_icm+rnd_seed1_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha3.csv
curriculum_icm+rnd_seed1_alpha4,curriculum,0.125,0.125,0.75,1,0.984375,9.2421875,histories/curriculum_icm+rnd_seed1_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha4.csv
curriculum_icm+rnd_seed1_alpha5,curriculum,0.0,0.25,0.75,1,1.0,10.58984375,histories/curriculum_icm+rnd_seed1_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha5.csv
