run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
4194304,0.33218542,0.33668196,0.33113265
8388608,0.33389315,0.3302932,0.33581364
12582912,0.3416746,0.3254856,0.33283985
16777216,0.30085778,0.37443572,0.3247065
20971520,0.30081496,0.3850094,0.31417567
25165824,0.3042022,0.39468843,0.30110934
29360128,0.29793343,0.38079023,0.32127637
33554432,0.29945678,0.41026694,0.29027632
37748736,0.2760632,0.4068963,0.3170405
41943040,0.26937136,0.42840436,0.30222428
46137344,0.24937291,0.44545287,0.30517423
50331648,0.2131299,0.47659028,0.31027985
54525952,0.20377022,0.49407226,0.30215752
58720256,0.20439658,0.49860007,0.29700336
62914560,0.19550204,0.51022995,0.294268
67108864,0.18941575,0.52220845,0.2883758
71303168,0.18500815,0.5194411,0.2955507
75497472,0.19508591,0.532016,0.27289814
79691776,0.1875062,0.5312534,0.2812404
83886080,0.17242041,0.5555474,0.27203214
88080384,0.17031051,0.548081,0.28160852
92274688,0.1617206,0.5638964,0.274383
96468992,0.16144626,0.5565829,0.28197086
100663296,0.15480387,0.5577729,0.28742325
104857600,0.14670554,0.5625935,0.29070094
109051904,0.1606127,0.5448929,0.2944944
113246208,0.18326937,0.5308433,0.28588733
117440512,0.19863465,0.5098578,0.2915076
121634816,0.20354211,0.50653076,0.28992718
125829120,0.18235792,0.50481546,0.31282657
130023424,0.16725916,0.5207214,0.3120195
134217728,0.16132343,0.5042678,0.33440873
138412032,0.16191702,0.46838775,0.36969525
142606336,0.16638297,0.45728225,0.3763348
146800640,0.1733323,0.4117332,0.41493452
150994944,0.18562633,0.38065657,0.43371707
155189248,0.19737312,0.3749677,0.4276592
159383552,0.22339857,0.3413142,0.43528724
163577856,0.2750386,0.32235074,0.4026106
167772160,0.3099531,0.3073724,0.38267457
171966464,0.32577378,0.2773342,0.396892
176160768,0.3299498,0.28652287,0.38352734
180355072,0.34637147,0.26934397,0.38428456
184549376,0.3507519,0.2532525,0.39599562
188743680,0.35391933,0.21909715,0.42698357
192937984,0.34939528,0.1979854,0.45261934
197132288,0.35282108,0.19594947,0.45122945
201326592,0.33688134,0.19595776,0.46716088
205520896,0.36288422,0.18210998,0.45500582
209715200,0.3694238,0.18434997,0.44622624
213909504,0.37193084,0.19974017,0.428329
218103808,0.3779998,0.18955797,0.43244222
222298112,0.38408643,0.19471289,0.4212007
226492416,0.36835605,0.19948044,0.43216348
230686720,0.36980358,0.2001881,0.43000832
234881024,0.36208603,0.21143666,0.4264773
239075328,0.335306,0.22069508,0.44399896
243269632,0.34173763,0.2226874,0.435575
247463936,0.3389371,0.21016702,0.4508959
251658240,0.30563012,0.21825635,0.47611356
255852544,0.30552593,0.22499497,0.46947908
260046848,0.3251385,0.22020255,0.45465896
264241152,0.32604173,0.23396146,0.4399968
268435456,0.32459658,0.2555132,0.41989022
272629760,0.30390748,0.2514697,0.4446228
276824064,0.31235406,0.22491804,0.4627279
281018368,0.27512103,0.23243415,0.49244484
285212672,0.2571763,0.2275756,0.51524806
289406976,0.27079508,0.22806181,0.5011431
293601280,0.28153488,0.23055413,0.487911
297795584,0.26593584,0.25432476,0.4797394
301989888,0.27258572,0.2420841,0.48533016
306184192,0.27228037,0.24348867,0.48423097
310378496,0.25971705,0.25707912,0.48320383
314572800,0.24913159,0.25334078,0.4975276
318767104,0.25972122,0.25517264,0.48510617
322961408,0.28420162,0.26802525,0.4477731
327155712,0.2825563,0.2646872,0.45275652
331350016,0.27361724,0.26881889,0.4575639
335544320,0.26115948,0.26358303,0.4752575
339738624,0.27160484,0.2771141,0.45128107
343932928,0.2670457,0.2911567,0.4417976
348127232,0.25224122,0.2877316,0.46002722
352321536,0.2603873,0.3053264,0.43428633
356515840,0.26685533,0.3073777,0.42576694
360710144,0.2663219,0.32466632,0.40901178
364904448,0.2728467,0.31482175,0.41233152
369098752,0.28909272,0.31748894,0.3934183
373293056,0.2813975,0.31653672,0.40206575
377487360,0.28919142,0.3172546,0.39355397
381681664,0.2697913,0.31017,0.42003873
385875968,0.27712435,0.30893356,0.4139421
390070272,0.27587205,0.3048728,0.41925514
394264576,0.2661535,0.31343898,0.4204075
398458880,0.2600635,0.32471243,0.41522408
402653184,0.26788312,0.30767572,0.42444116
406847488,0.28127143,0.31916657,0.399562
411041792,0.28403974,0.33297825,0.38298202
415236096,0.28946373,0.34588403,0.36465222
419430400,0.28995174,0.3370524,0.37299585
423624704,0.29915017,0.3343224,0.3665274
427819008,0.30064502,0.33151802,0.36783695
432013312,0.3042428,0.33182564,0.36393157
436207616,0.29392156,0.33526796,0.37081048
440401920,0.2851696,0.33794773,0.37688267
444596224,0.2921776,0.3660092,0.3418132
448790528,0.29247487,0.3488294,0.35869575
452984832,0.29298496,0.35161117,0.3554039
457179136,0.30025226,0.36053935,0.3392084
461373440,0.27521896,0.37925315,0.3455279
465567744,0.26429018,0.37945485,0.35625497
469762048,0.25705457,0.4001216,0.34282383
473956352,0.2676944,0.4002943,0.33201128
478150656,0.27202767,0.41830486,0.30966747
482344960,0.2557455,0.43539488,0.30885965
486539264,0.2648852,0.43943924,0.29567558
490733568,0.26177758,0.44747818,0.29074425
494927872,0.25983238,0.4224012,0.3177664
499122176,0.2688915,0.4168407,0.31426775
503316480,0.2795246,0.4140678,0.30640763
