eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.6193447e-10,1.5859375
12582912,3.4924597e-10,2.09375
20971520,4.656613e-10,2.28515625
29360128,2.6193447e-10,2.6640625
37748736,4.656613e-10,2.06640625
46137344,6.693881e-10,2.5390625
54525952,8.1490725e-10,1.921875
62914560,6.4028427e-10,1.578125
71303168,2.3283064e-10,1.01171875
79691776,9.313226e-10,1.34765625
88080384,3.2014214e-10,1.0546875
96468992,6.4028427e-10,2.2421875
104857600,7.858034e-10,1.47265625
113246208,6.9849193e-10,0.89453125
121634816,2.6193447e-10,1.19140625
130023424,1.1641532e-10,1.3046875
138412032,0.0,0.5546875
146800640,4.3655746e-10,0.44921875
155189248,4.3655746e-10,0.4765625
163577856,2.910383e-10,0.5
171966464,2.3283064e-10,1.1015625
180355072,1.1641532e-10,0.83984375
188743680,2.3283064e-10,0.4921875
197132288,2.6193447e-10,0.7890625
205520896,6.4028427e-10,0.953125
213909504,4.0745363e-10,0.8359375
222298112,5.820766e-11,0.55078125
230686720,4.3655746e-10,0.92578125
239075328,2.910383e-10,1.0546875
247463936,4.656613e-10,0.39453125
255852544,1.1641532e-10,0.77734375
264241152,2.3283064e-10,0.3671875
272629760,1.1641532e-10,0.55859375
281018368,3.4924597e-10,1.125
289406976,4.0745363e-10,1.1875
297795584,6.1118044e-10,0.953125
306184192,4.0745363e-10,1.25
314572800,-2.910383e-11,0.3984375
322961408,2.6193447e-10,0.69921875
331350016,6.693881e-10,1.29296875
339738624,6.4028427e-10,1.29296875
348127232,7.858034e-10,1.62109375
356515840,3.4924597e-10,1.9140625
364904448,8.440111e-10,1.515625
373293056,6.1118044e-10,1.5859375
381681664,3.783498e-10,1.609375
390070272,2.910383e-10,1.078125
398458880,3.4924597e-10,1.21875
406847488,6.9849193e-10,1.16015625
415236096,1.0186341e-09,1.453125
423624704,6.693881e-10,1.54296875
432013312,5.529728e-10,1.08203125
440401920,6.9849193e-10,0.68359375
448790528,4.0745363e-10,1.32421875
457179136,5.529728e-10,1.34765625
465567744,8.1490725e-10,1.5
473956352,8.440111e-10,1.01953125
482344960,5.820766e-10,0.56640625
490733568,1.2514647e-09,0.921875
499122176,5.820766e-10,1.12890625
