eval/total_steps,standardized_return_mean,achievements_mean
4194304,6.9849193e-10,2.06640625
12582912,9.313226e-10,1.671875
20971520,0.011718751,2.86328125
29360128,0.671875,6.5078125
37748736,0.98828125,7.41796875
46137344,1.0859375,8.7421875
54525952,1.109375,8.28125
62914560,1.0039062,7.75390625
71303168,1.1328125,7.1171875
79691776,1.1367188,8.28125
88080384,1.0742188,8.4921875
96468992,1.0742188,9.19921875
104857600,1.0585938,6.94140625
113246208,1.0742188,9.2265625
121634816,1.5585938,9.51171875
130023424,1.0859375,10.09375
138412032,1.28125,10.3515625
146800640,1.2578125,10.2265625
155189248,1.546875,10.265625
163577856,1.5820312,9.05859375
171966464,1.6523438,9.37890625
180355072,1.8789062,10.69921875
188743680,1.9257812,11.7890625
197132288,1.78125,9.5078125
205520896,1.8320312,10.55078125
213909504,1.7617188,11.58984375
222298112,1.6914062,10.984375
230686720,1.8632812,12.265625
239075328,1.9296875,11.65625
247463936,1.9414062,11.375
255852544,1.9414062,11.94921875
264241152,1.984375,11.80078125
272629760,1.9648438,11.0859375
281018368,1.984375,11.8984375
289406976,1.96875,11.74609375
297795584,1.9648438,11.578125
306184192,1.9765625,12.3203125
314572800,1.9648438,11.94921875
322961408,1.9804688,12.046875
331350016,1.984375,12.43359375
339738624,1.9882812,12.52734375
348127232,1.96875,12.1484375
356515840,1.984375,12.55078125
364904448,1.421875,8.80859375
373293056,1.9804688,12.20703125
381681664,1.9921875,13.36328125
390070272,1.9765625,12.65234375
398458880,1.9882812,12.79296875
406847488,1.9882812,13.1484375
415236096,1.984375,12.3515625
423624704,1.9921875,12.84375
432013312,1.9921875,13.34375
440401920,1.984375,13.58984375
448790528,1.9648438,12.16015625
457179136,1.96875,11.8984375
465567744,1.9570312,12.36328125
473956352,1.984375,12.4453125
482344960,1.96875,12.859375
490733568,1.9765625,13.04296875
499122176,1.984375,12.64453125
