eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.0768417e-09,2.6640625
12582912,1.1641532e-10,2.16796875
20971520,1.1641532e-10,2.53515625
29360128,2.6193447e-10,2.60546875
37748736,0.00390625,1.859375
46137344,0.0078125,2.390625
54525952,0.03125,2.78125
62914560,0.05078125,2.6484375
71303168,0.01953125,3.2890625
79691776,0.015625,3.38671875
88080384,0.01953125,3.8515625
96468992,0.1015625,4.0546875
104857600,0.2421875,4.68359375
113246208,0.59765625,5.95703125
121634816,0.78515625,6.8515625
130023424,0.8671875,6.59765625
138412032,0.97265625,7.28125
146800640,1.09375,7.20703125
155189248,1.1601562,7.60546875
163577856,1.0,6.671875
171966464,0.921875,7.25390625
180355072,1.1132812,7.90234375
188743680,1.265625,8.16015625
197132288,1.21875,7.98046875
205520896,1.5273438,9.3671875
213909504,1.390625,8.92578125
222298112,1.4492188,8.63671875
230686720,1.3789062,8.40625
239075328,1.4179688,8.6328125
247463936,1.5234375,8.8984375
255852544,1.3242188,7.8359375
264241152,1.5117188,9.1640625
272629760,1.5742188,7.91796875
281018368,1.5195312,8.453125
289406976,1.46875,8.4921875
297795584,1.6875,9.296875
306184192,1.1757812,6.8671875
314572800,1.609375,9.1796875
322961408,1.5507812,8.76953125
331350016,1.5429688,8.546875
339738624,1.5195312,8.37109375
348127232,1.5898438,9.17578125
356515840,1.4296875,8.98828125
364904448,1.5898438,9.2890625
373293056,1.7382812,10.16015625
381681664,1.7539062,9.984375
390070272,1.7578125,10.4140625
398458880,1.8867188,10.58203125
406847488,1.9414062,11.19140625
415236096,1.921875,11.2890625
423624704,1.9140625,10.51953125
432013312,1.9140625,11.09765625
440401920,1.8867188,9.8125
448790528,1.9375,11.12109375
457179136,1.8828125,10.83984375
465567744,1.9414062,11.078125
473956352,1.9453125,10.75390625
482344960,1.9257812,10.85546875
490733568,1.9101562,10.671875
499122176,1.90625,11.0390625
