eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.820766e-11,1.11328125
12582912,0.0,0.89453125
20971520,-2.910383e-11,0.98046875
29360128,0.0,0.99609375
37748736,0.0,1.015625
46137344,0.0,0.7578125
54525952,5.820766e-11,2.25390625
62914560,5.820766e-11,3.37890625
71303168,-8.731149e-11,2.546875
79691776,1.7462298e-10,2.7109375
88080384,-1.7462298e-10,2.421875
96468992,-2.910383e-10,2.6015625
104857600,-2.910383e-11,3.16015625
113246208,8.731149e-11,3.25390625
121634816,1.1641532e-10,3.19140625
130023424,-2.910383e-11,3.21875
138412032,-2.3283064e-10,3.09375
146800640,-1.4551915e-10,2.43359375
155189248,-1.1641532e-10,2.546875
163577856,-1.1641532e-10,2.6328125
171966464,-5.820766e-11,2.5234375
180355072,-2.910383e-11,2.5390625
188743680,-2.910383e-11,2.8515625
197132288,0.0,2.9140625
205520896,8.731149e-11,2.1953125
213909504,-4.656613e-10,2.35546875
222298112,-1.7462298e-10,2.41796875
230686720,-3.2014214e-10,2.62890625
239075328,-1.1641532e-10,2.4375
247463936,-1.7462298e-10,2.41796875
255852544,1.7462298e-10,2.62890625
264241152,5.820766e-11,2.3984375
272629760,-3.2014214e-10,2.625
281018368,-1.4551915e-10,2.5390625
289406976,-5.820766e-11,2.3984375
297795584,-1.1641532e-10,2.76171875
306184192,2.910383e-11,2.48046875
314572800,-3.2014214e-10,2.875
322961408,-2.910383e-11,2.6640625
331350016,-4.947651e-10,3.203125
339738624,-1.4551915e-10,3.28515625
348127232,-4.0745363e-10,3.30078125
356515840,-2.910383e-10,3.109375
364904448,-7.2759576e-10,2.92578125
373293056,-3.4924597e-10,2.484375
381681664,-2.0372681e-10,2.6640625
390070272,-1.1641532e-10,2.5703125
398458880,-2.910383e-10,2.55078125
406847488,1.1641532e-10,2.421875
415236096,-2.910383e-11,2.453125
423624704,-2.910383e-11,2.62109375
432013312,-6.9849193e-10,2.46484375
440401920,-5.2386895e-10,2.45703125
448790528,-1.7462298e-10,2.6796875
457179136,-8.731149e-11,2.53125
465567744,2.910383e-11,2.44140625
473956352,-2.6193447e-10,2.484375
482344960,-5.820766e-10,2.60546875
490733568,-6.1118044e-10,2.140625
499122176,-4.656613e-10,2.4296875
