eval/total_steps,standardized_return_mean,achievements_mean
4194304,0.003906251,2.34765625
25165824,1.542503e-09,2.47265625
46137344,1.3387762e-09,3.01953125
67108864,1.2514647e-09,3.34375
88080384,0.00390625,4.39453125
109051904,-1.1641532e-10,3.8671875
130023424,0.3203125,6.8203125
150994944,1.0351562,7.5625
171966464,1.7617188,7.87890625
192937984,1.8828125,8.8671875
213909504,1.8984375,9.734375
234881024,1.921875,10.24609375
255852544,1.9101562,9.640625
276824064,1.9101562,10.08984375
297795584,1.921875,10.6953125
318767104,1.9140625,10.75
339738624,1.9570312,10.6640625
360710144,1.9179688,10.71875
381681664,1.9335938,10.96875
402653184,1.9765625,11.625
423624704,1.9257812,12.47265625
444596224,1.953125,13.125
465567744,1.984375,12.7578125
486539264,1.9179688,10.3828125
