run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
baseline_icm0p25+rnd0p625_seed3,baseline,0.25,0.625,0.12,3,1.78125,13.078125,histories/baseline_icm0p25+rnd0p625_seed3.csv,
baseline_icm0p25+rnd0p625_seed1,baseline,0.25,0.625,0.12,1,1.9453125,15.55859375,histories/baseline_icm0p25+rnd0p625_seed1.csv,
baseline_icm0p25+rnd0p625_seed2,baseline,0.25,0.625,0.12,2,1.8046875,14.81640625,histories/baseline_icm0p25+rnd0p625_seed2.csv,
baseline_icm0p125+rnd0_seed3,baseline,0.125,0.0,0.88,3,0.9453125,3.28125,histories/baseline_icm0p125+rnd0_seed3.csv,
baseline_icm0p125+rnd0_seed1,baseline,0.125,0.0,0.88,1,1.92578125,8.47265625,histories/baseline_icm0p125+rnd0_seed1.csv,
baseline_icm0p125+rnd0_seed2,baseline,0.125,0.0,0.88,2,6.402842700481415e-10,1.984375,histories/baseline_icm0p125+rnd0_seed2.csv,
baseline_icm0p25+rnd0p125_seed3,baseline,0.25,0.125,0.62,3,1.97265625,11.3984375,histories/baseline_icm0p25+rnd0p125_seed3.csv,
baseline_icm0p25+rnd0p125_seed1,baseline,0.25,0.125,0.62,1,1.98828125,9.484375,histories/baseline_icm0p25+rnd0p125_seed1.csv,
baseline_icm0p25+rnd0p125_seed2,baseline,0.25,0.125,0.62,2,1.91796875,10.9765625,histories/baseline_icm0p25+rnd0p125_seed2.csv,
baseline_icm0+rnd0p625_seed3,baseline,0.0,0.625,0.38,3,1.92578125,13.15625,histories/baseline_icm0+rnd0p625_seed3.csv,
baseline_icm0+rnd0p625_seed1,baseline,0.0,0.625,0.38,1,1.9765625,10.86328125,histories/baseline_icm0+rnd0p625_seed1.csv,
baseline_icm0+rnd0p625_seed2,baseline,0.0,0.625,0.38,2,1.984375,12.64453125,histories/baseline_icm0+rnd0p625_seed2.csv,
baseline_icm0p5+rnd0p25_seed3,baseline,0.5,0.25,0.25,3,1.77734375,10.54296875,histories/baseline_icm0p5+rnd0p25_seed3.csv,
baseline_icm0p5+rnd0p25_seed1,baseline,0.5,0.25,0.25,1,1.875,11.89453125,histories/baseline_icm0p5+rnd0p25_seed1.csv,
baseline_icm0p5+rnd0p25_seed2,baseline,0.5,0.25,0.25,2,1.90625,11.0390625,histories/baseline_icm0p5+rnd0p25_seed2.csv,
baseline_icm0+rnd0_seed3,baseline,0.0,0.0,1.0,3,5.820766091346741e-10,1.12890625,histories/baseline_icm0+rnd0_seed3.csv,
baseline_icm0+rnd0_seed1,baseline,0.0,0.0,1.0,1,7.8580342233181e-10,1.8046875,histories/baseline_icm0+rnd0_seed1.csv,
baseline_icm0+rnd0_seed2,baseline,0.0,0.0,1.0,2,2.9103830456733704e-11,0.6015625,histories/baseline_icm0+rnd0_seed2.csv,
baseline_icm0+rnd0p25_seed3,baseline,0.0,0.25,0.75,3,1.9140625,9.65625,histories/baseline_icm0+rnd0p25_seed3.csv,
baseline_icm0+rnd0p25_seed1,baseline,0.0,0.25,0.75,1,0.97265625,6.4140625,histories/baseline_icm0+rnd0p25_seed1.csv,
baseline_icm0+rnd0p25_seed2,baseline,0.0,0.25,0.75,2,1.9765625,13.453125,histories/baseline_icm0+rnd0p25_seed2.csv,
baseline_icm0p375+rnd0p5_seed3,baseline,0.375,0.5,0.12,3,1.5859375,11.890625,histories/baseline_icm0p375+rnd0p5_seed3.csv,
baseline_icm0p375+rnd0p5_seed1,baseline,0.375,0.5,0.12,1,1.72265625,13.234375,histories/baseline_icm0p375+rnd0p5_seed1.csv,
baseline_icm0p375+rnd0p5_seed2,baseline,0.375,0.5,0.12,2,1.86328125,13.32421875,histories/baseline_icm0p375+rnd0p5_seed2.csv,
baseline_icm0p875+rnd0_seed3,baseline,0.875,0.0,0.12,3,0.32421875,4.4609375,histories/baseline_icm0p875+rnd0_seed3.csv,
baseline_icm0p875+rnd0_seed1,baseline,0.875,0.0,0.12,1,0.19140625,4.0546875,histories/baseline_icm0p875+rnd0_seed1.csv,
baseline_icm0p875+rnd0_seed2,baseline,0.875,0.0,0.12,2,-2.0372681319713593e-10,2.36328125,histories/baseline_icm0p875+rnd0_seed2.csv,
baseline_icm0p625+rnd0_seed3,baseline,0.625,0.0,0.38,3,-4.656612873077393e-10,2.4296875,histories/baseline_icm0p625+rnd0_seed3.csv,
baseline_icm0p625+rnd0_seed1,baseline,0.625,0.0,0.38,1,1.19921875,6.56640625,histories/baseline_icm0p625+rnd0_seed1.csv,
baseline_icm0p625+rnd0_seed2,baseline,0.625,0.0,0.38,2,1.42578125,7.5078125,histories/baseline_icm0p625+rnd0_seed2.csv,
curriculum_icm+rnd_seed3_alpha0,curriculum,0.0,0.0,1.0,3,1.9296875,10.24609375,histories/curriculum_icm+rnd_seed3_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha0.csv
curriculum_icm+rnd_seed3_alpha1,curriculum,0.125,0.0,0.875,3,1.890625,9.86328125,histories/curriculum_icm+rnd_seed3_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha1.csv
curriculum_icm+rnd_seed3_alpha2,curriculum,0.0,0.125,0.875,3,1.87890625,10.54296875,histories/curriculum_icm+rnd_seed3_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha2.csv
curriculum_icm+rnd_seed3_alpha3,curriculum,0.25,0.0,0.75,3,1.88671875,9.3203125,histories/curriculum_icm+rnd_seed3_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha3.csv
curriculum_icm+rnd_seed3_alpha4,curriculum,0.125,0.125,0.75,3,1.8828125,10.16796875,histories/curriculum_icm+rnd_seed3_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha4.csv
curriculum_icm+rnd_seed3_alpha5,curriculum,0.0,0.25,0.75,3,1.8984375,11.49609375,histories/curriculum_icm+rnd_seed3_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha5.csv
curriculum_icm+rnd_seed3_alpha6,curriculum,0.375,0.0,0.625,3,1.80078125,9.0703125,histories/curriculum_icm+rnd_seed3_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha6.csv
curriculum_icm+rnd_seed3_alpha7,curriculum,0.25,0.125,0.625,3,1.85546875,9.58203125,histories/curriculum_icm+rnd_seed3_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha7.csv
curriculum_icm+rnd_seed3_alpha8,curriculum,0.125,0.25,0.625,3,1.890625,10.99609375,histories/curriculum_icm+rnd_seed3_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha8.csv
curriculum_icm+rnd_seed3_alpha9,curriculum,0.0,0.375,0.625,3,1.86328125,12.046875,histories/curriculum_icm+rnd_seed3_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha9.csv
curriculum_icm+rnd_seed3_alpha10,curriculum,0.5,0.0,0.5,3,1.66015625,8.515625,histories/curriculum_icm+rnd_seed3_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha10.csv
curriculum_icm+rnd_seed3_alpha11,curriculum,0.375,0.125,0.5,3,1.8046875,9.0234375,histories/curriculum_icm+rnd_seed3_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha11.csv
curriculum_icm+rnd_seed3_alpha12,curriculum,0.25,0.25,0.5,3,1.8828125,10.1640625,histories/curriculum_icm+rnd_seed3_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha12.csv
curriculum_icm+rnd_seed3_alpha13,curriculum,0.125,0.375,0.5,3,1.859375,12.3046875,histories/curriculum_icm+rnd_seed3_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha13.csv
curriculum_icm+rnd_seed3_alpha14,curriculum,0.0,0.5,0.5,3,1.8046875,12.37109375,histories/curriculum_icm+rnd_seed3_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha14.csv
curriculum_icm+rnd_seed3_alpha15,curriculum,0.625,0.0,0.375,3,1.484375,7.84765625,histories/curriculum_icm+rnd_seed3_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha15.csv
curriculum_icm+rnd_seed3_alpha16,curriculum,0.5,0.125,0.375,3,1.609375,8.421875,histories/curriculum_icm+rnd_seed3_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha16.csv
curriculum_icm+rnd_seed3_alpha17,curriculum,0.375,0.25,0.375,3,1.79296875,9.45703125,histories/curriculum_icm+rnd_seed3_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha17.csv
curriculum_icm+rnd_seed3_alpha18,curriculum,0.25,0.375,0.375,3,1.90234375,11.6640625,histories/curriculum_icm+rnd_seed3_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha18.csv
curriculum_icm+rnd_seed3_alpha19,curriculum,0.125,0.5,0.375,3,1.79296875,12.34375,histories/curriculum_icm+rnd_seed3_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha19.csv
curriculum_icm+rnd_seed3_alpha20,curriculum,0.0,0.625,0.375,3,1.66015625,11.99609375,histories/curriculum_icm+rnd_seed3_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha20.csv
curriculum_icm+rnd_seed3_alpha21,curriculum,0.75,0.0,0.25,3,1.40625,7.8125,histories/curriculum_icm+rnd_seed3_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha21.csv
curriculum_icm+rnd_seed3_alpha22,curriculum,0.625,0.125,0.25,3,1.47265625,7.9765625,histories/curriculum_icm+rnd_seed3_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha22.csv
curriculum_icm+rnd_seed3_alpha23,curriculum,0.5,0.25,0.25,3,1.58203125,8.40625,histories/curriculum_icm+rnd_seed3_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha23.csv
curriculum_icm+rnd_seed3_alpha24,curriculum,0.375,0.375,0.25,3,1.79296875,10.265625,histories/curriculum_icm+rnd_seed3_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha24.csv
curriculum_icm+rnd_seed3_alpha25,curriculum,0.25,0.5,0.25,3,1.81640625,12.6171875,histories/curriculum_icm+rnd_seed3_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha25.csv
curriculum_icm+rnd_seed3_alpha26,curriculum,0.125,0.625,0.25,3,1.6328125,12.23046875,histories/curriculum_icm+rnd_seed3_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha26.csv
curriculum_icm+rnd_seed3_alpha27,curriculum,0.0,0.75,0.25,3,1.46875,11.5546875,histories/curriculum_icm+rnd_seed3_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha27.csv
curriculum_icm+rnd_seed3_alpha28,curriculum,0.875,0.0,0.125,3,0.15234375,2.53515625,histories/curriculum_icm+rnd_seed3_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha28.csv
curriculum_icm+rnd_seed3_alpha29,curriculum,0.75,0.125,0.125,3,1.3203125,7.47265625,histories/curriculum_icm+rnd_seed3_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha29.csv
curriculum_icm+rnd_seed3_alpha30,curriculum,0.625,0.25,0.125,3,1.49609375,8.03515625,histories/curriculum_icm+rnd_seed3_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha30.csv
curriculum_icm+rnd_seed3_alpha31,curriculum,0.5,0.375,0.125,3,1.484375,8.25390625,histories/curriculum_icm+rnd_seed3_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha31.csv
curriculum_icm+rnd_seed3_alpha32,curriculum,0.375,0.5,0.125,3,1.77734375,12.10546875,histories/curriculum_icm+rnd_seed3_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha32.csv
curriculum_icm+rnd_seed3_alpha33,curriculum,0.25,0.625,0.125,3,1.546875,12.2109375,histories/curriculum_icm+rnd_seed3_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha33.csv
curriculum_icm+rnd_seed3_alpha34,curriculum,0.125,0.75,0.125,3,1.41796875,11.78125,histories/curriculum_icm+rnd_seed3_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha34.csv
curriculum_icm+rnd_seed3_alpha35,curriculum,0.0,0.875,0.125,3,1.4296875,11.71875,histories/curriculum_icm+rnd_seed3_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha35.csv
curriculum_icm+rnd_seed1_alpha0,curriculum,0.0,0.0,1.0,1,1.93359375,10.48828125,histories/curriculum_icm+rnd_seed1_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha0.csv
curriculum_icm+rnd_seed1_alpha1,curriculum,0.125,0.0,0.875,1,1.9375,10.51953125,histories/curriculum_icm+rnd_seed1_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha1.csv
curriculum_icm+rnd_seed1_alpha2,curriculum,0.0,0.125,0.875,1,1.9296875,10.71484375,histories/curriculum_icm+rnd_seed1_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha2.csv
curriculum_icm+rnd_seed1_alpha3,curriculum,0.25,0.0,0.75,1,1.9609375,10.25390625,histories/curriculum_icm+rnd_seed1_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha3.csv
curriculum_icm+rnd_seed1_alpha4,curriculum,0.125,0.125,0.75,1,1.95703125,10.97265625,histories/curriculum_icm+rnd_seed1_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha4.csv
curriculum_icm+rnd_seed1_alpha5,curriculum,0.0,0.25,0.75,1,1.93359375,11.57421875,histories/curriculum_icm+rnd_seed1_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha5.csv
curriculum_icm+rnd_seed1_alpha6,curriculum,0.375,0.0,0.625,1,1.93359375,9.84765625,histories/curriculum_icm+rnd_seed1_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha6.csv
curriculum_icm+rnd_seed1_alpha7,curriculum,0.25,0.125,0.625,1,1.94921875,10.4375,histories/curriculum_icm+rnd_seed1_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha7.csv
curriculum_icm+rnd_seed1_alpha8,curriculum,0.125,0.25,0.625,1,1.96875,12.078125,histories/curriculum_icm+rnd_seed1_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha8.csv
curriculum_icm+rnd_seed1_alpha9,curriculum,0.0,0.375,0.625,1,1.96875,13.40625,histories/curriculum_icm+rnd_seed1_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha9.csv
curriculum_icm+rnd_seed1_alpha10,curriculum,0.5,0.0,0.5,1,1.87890625,9.328125,histories/curriculum_icm+rnd_seed1_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha10.csv
curriculum_icm+rnd_seed1_alpha11,curriculum,0.375,0.125,0.5,1,1.91796875,9.86328125,histories/curriculum_icm+rnd_seed1_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha11.csv
curriculum_icm+rnd_seed1_alpha12,curriculum,0.25,0.25,0.5,1,1.94921875,11.41015625,histories/curriculum_icm+rnd_seed1_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha12.csv
curriculum_icm+rnd_seed1_alpha13,curriculum,0.125,0.375,0.5,1,1.9453125,13.56640625,histories/curriculum_icm+rnd_seed1_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha13.csv
curriculum_icm+rnd_seed1_alpha14,curriculum,0.0,0.5,0.5,1,1.96484375,13.484375,histories/curriculum_icm+rnd_seed1_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha14.csv
curriculum_icm+rnd_seed1_alpha15,curriculum,0.625,0.0,0.375,1,1.66796875,8.92578125,histories/curriculum_icm+rnd_seed1_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha15.csv
curriculum_icm+rnd_seed1_alpha16,curriculum,0.5,0.125,0.375,1,1.77734375,9.51953125,histories/curriculum_icm+rnd_seed1_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha16.csv
curriculum_icm+rnd_seed1_alpha17,curriculum,0.375,0.25,0.375,1,1.91015625,10.421875,histories/curriculum_icm+rnd_seed1_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha17.csv
curriculum_icm+rnd_seed1_alpha18,curriculum,0.25,0.375,0.375,1,1.94921875,13.546875,histories/curriculum_icm+rnd_seed1_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha18.csv
curriculum_icm+rnd_seed1_alpha19,curriculum,0.125,0.5,0.375,1,1.9609375,13.84765625,histories/curriculum_icm+rnd_seed1_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha19.csv
