run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
4194304,0.3373079,0.3390126,0.3236795
8388608,0.33258444,0.3234766,0.34393895
12582912,0.34075212,0.32755548,0.3316924
16777216,0.3015044,0.36046383,0.33803177
20971520,0.2997887,0.36327407,0.33693722
25165824,0.29391772,0.37060693,0.33547536
29360128,0.28554925,0.36445668,0.34999406
33554432,0.26854128,0.40694147,0.32451728
37748736,0.287762,0.3850086,0.32722944
41943040,0.26560545,0.41487584,0.3195187
46137344,0.24934389,0.44857413,0.30208197
50331648,0.24898717,0.45206934,0.29894346
54525952,0.21741037,0.5014123,0.28117734
58720256,0.2061235,0.52367437,0.2702021
62914560,0.19757882,0.5448793,0.2575419
67108864,0.21334817,0.5241107,0.26254117
71303168,0.20140475,0.55022395,0.24837121
75497472,0.21159698,0.5292233,0.2591797
79691776,0.22993347,0.47184703,0.2982195
83886080,0.23931928,0.4433783,0.3173024
88080384,0.26212597,0.4365335,0.30134052
92274688,0.26453453,0.41172668,0.32373878
96468992,0.2618824,0.432113,0.30600464
100663296,0.27042344,0.42024776,0.3093288
104857600,0.26657316,0.4233144,0.31011248
109051904,0.25389066,0.4525873,0.29352206
113246208,0.25307235,0.45144814,0.29547948
117440512,0.2516642,0.44259202,0.3057438
121634816,0.2544242,0.41618735,0.32938844
125829120,0.27258462,0.37645745,0.35095793
130023424,0.2694966,0.3890404,0.34146303
134217728,0.29657254,0.3579917,0.34543574
138412032,0.29342636,0.35573715,0.35083646
142606336,0.3025092,0.3434883,0.35400254
146800640,0.33237678,0.33570892,0.3319143
150994944,0.31874034,0.33208293,0.34917673
155189248,0.30472186,0.34066594,0.35461217
159383552,0.31341755,0.33032003,0.35626242
163577856,0.3059331,0.3391754,0.35489148
167772160,0.2781658,0.33855575,0.3832785
171966464,0.28303435,0.35884458,0.35812107
176160768,0.26808178,0.3592438,0.3726744
180355072,0.26350185,0.36085665,0.37564152
184549376,0.2554093,0.36816353,0.37642714
188743680,0.23487344,0.38536468,0.37976187
192937984,0.2280986,0.38826895,0.38363245
197132288,0.20762023,0.4223507,0.37002903
201326592,0.20419472,0.39112505,0.4046802
205520896,0.19471908,0.41432387,0.39095706
209715200,0.18867007,0.4014348,0.40989512
213909504,0.19096252,0.39224792,0.41678953
218103808,0.18246543,0.37641504,0.44111952
222298112,0.16985822,0.37577075,0.45437104
226492416,0.16645768,0.35394707,0.47959524
230686720,0.16095084,0.36472702,0.47432214
234881024,0.15609655,0.3364423,0.5074612
239075328,0.15520647,0.3689903,0.4758032
243269632,0.17478773,0.36133587,0.4638764
247463936,0.182907,0.3253428,0.49175018
251658240,0.17424722,0.3267809,0.4989719
255852544,0.18577948,0.30852008,0.5057004
260046848,0.18397953,0.30829948,0.507721
264241152,0.18470003,0.29874966,0.5165503
268435456,0.18085817,0.26922175,0.5499201
272629760,0.17177737,0.23674965,0.591473
276824064,0.16193268,0.22911151,0.6089558
281018368,0.17178464,0.25104544,0.5771699
285212672,0.18376753,0.2824061,0.53382635
289406976,0.19554992,0.2756405,0.5288096
293601280,0.20657608,0.2516573,0.5417666
297795584,0.19226569,0.2426329,0.56510144
301989888,0.17014848,0.25272948,0.57712203
306184192,0.16848502,0.26423174,0.5672833
310378496,0.15802541,0.27644262,0.56553197
314572800,0.16176729,0.24228299,0.5959497
318767104,0.14447498,0.22723132,0.6282937
322961408,0.14118597,0.21266526,0.6461488
327155712,0.17326541,0.27804086,0.5486937
331350016,0.1876602,0.2994158,0.512924
335544320,0.18275593,0.2988581,0.518386
339738624,0.1580532,0.25512287,0.58682394
343932928,0.13510999,0.22344323,0.64144677
348127232,0.12497285,0.21491437,0.66011274
352321536,0.117560565,0.22820473,0.6542347
356515840,0.12393597,0.2352246,0.64083946
360710144,0.12597951,0.24601096,0.62800956
364904448,0.1315487,0.25429496,0.6141563
369098752,0.1627266,0.29782546,0.5394479
373293056,0.16658553,0.28553593,0.5478785
377487360,0.19172011,0.28928503,0.51899487
381681664,0.19207215,0.28631142,0.52161646
385875968,0.20312679,0.26865366,0.5282196
390070272,0.18719888,0.28979224,0.5230089
394264576,0.1650568,0.2745943,0.5603489
398458880,0.14505541,0.28665885,0.56828576
402653184,0.13950634,0.27950418,0.5809895
406847488,0.13742,0.3248554,0.5377246
411041792,0.1506266,0.323969,0.5254044
415236096,0.158219,0.3284298,0.51335126
419430400,0.1691759,0.33975714,0.49106693
423624704,0.15635085,0.33662376,0.50702536
427819008,0.14188254,0.35017744,0.50794005
432013312,0.14040974,0.34611297,0.51347727
436207616,0.14409757,0.35251874,0.50338376
440401920,0.1835967,0.3716191,0.44478422
444596224,0.19520248,0.3606707,0.44412684
448790528,0.18389535,0.3246091,0.49149555
452984832,0.15390024,0.31650656,0.5295932
457179136,0.13972285,0.30888027,0.55139685
461373440,0.1478978,0.29112867,0.5609735
465567744,0.1318129,0.30921477,0.55897236
469762048,0.117647156,0.32585627,0.5564966
473956352,0.13134828,0.3374211,0.5312306
478150656,0.13643733,0.3596409,0.50392175
482344960,0.15730566,0.3535254,0.48916894
486539264,0.16062662,0.344496,0.49487737
490733568,0.15321271,0.337108,0.5096793
494927872,0.18083079,0.3443927,0.47477654
499122176,0.17662302,0.3601383,0.46323872
503316480,0.18673888,0.35876444,0.45449668
