eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.1641532e-10,1.125
12582912,8.1490725e-10,2.08203125
20971520,4.656613e-10,1.8203125
29360128,4.947651e-10,2.1171875
37748736,1.2514647e-09,1.53515625
46137344,9.313226e-10,1.33203125
54525952,0.0,1.6875
62914560,2.6193447e-10,1.2734375
71303168,0.0,0.63671875
79691776,2.910383e-10,1.00390625
88080384,1.1641532e-10,1.1171875
96468992,6.693881e-10,1.3125
104857600,1.4551915e-10,1.03125
113246208,2.910383e-11,1.18359375
121634816,8.440111e-10,1.5859375
130023424,6.1118044e-10,1.4296875
138412032,4.0745363e-10,1.1796875
146800640,6.4028427e-10,1.01171875
155189248,4.947651e-10,1.05078125
163577856,5.820766e-10,1.19921875
171966464,2.910383e-10,1.2734375
180355072,2.910383e-10,1.26953125
188743680,4.0745363e-10,1.60546875
197132288,5.820766e-10,1.2890625
205520896,1.4551915e-10,1.6640625
213909504,5.529728e-10,1.97265625
222298112,5.2386895e-10,1.6015625
230686720,2.6193447e-10,1.3046875
239075328,1.4551915e-10,1.90625
247463936,6.4028427e-10,1.1484375
255852544,2.3283064e-10,1.86328125
264241152,2.6193447e-10,1.79296875
272629760,3.2014214e-10,1.8984375
281018368,3.2014214e-10,1.84765625
289406976,3.4924597e-10,1.953125
297795584,1.1641532e-10,1.8984375
306184192,3.2014214e-10,1.4375
314572800,4.3655746e-10,1.35546875
322961408,2.910383e-10,0.75
331350016,9.0221874e-10,1.0703125
339738624,3.4924597e-10,1.0703125
348127232,8.440111e-10,1.234375
356515840,4.0745363e-10,1.796875
364904448,2.6193447e-10,1.5390625
373293056,5.529728e-10,1.5
381681664,3.4924597e-10,1.51953125
390070272,3.4924597e-10,0.75
398458880,4.947651e-10,1.1796875
406847488,4.947651e-10,1.171875
415236096,3.4924597e-10,1.125
423624704,2.3283064e-10,1.23046875
432013312,2.910383e-10,0.91015625
440401920,2.6193447e-10,1.765625
448790528,5.529728e-10,1.34375
457179136,2.0372681e-10,0.45703125
465567744,9.895302e-10,1.27734375
473956352,4.3655746e-10,1.10546875
482344960,7.2759576e-10,1.12109375
490733568,2.910383e-10,1.33984375
499122176,9.0221874e-10,1.05859375
