eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.783498e-10,2.7109375
12582912,9.313226e-10,2.26953125
20971520,6.9849193e-10,2.109375
29360128,1.193257e-09,2.35546875
37748736,5.2386895e-10,2.8828125
46137344,2.910383e-11,2.328125
54525952,7.858034e-10,1.94140625
62914560,1.0768417e-09,2.34765625
71303168,1.193257e-09,1.8046875
79691776,4.947651e-10,2.29296875
88080384,1.1059456e-09,1.765625
96468992,5.529728e-10,1.86328125
104857600,7.858034e-10,1.953125
113246208,9.895302e-10,1.80078125
121634816,4.656613e-10,1.19140625
130023424,4.0745363e-10,1.75
138412032,3.2014214e-10,0.83984375
146800640,5.820766e-11,1.93359375
155189248,-8.731149e-11,1.421875
163577856,2.0372681e-10,1.56640625
171966464,8.731149e-11,1.9140625
180355072,2.0372681e-10,1.46484375
188743680,1.7462298e-10,1.84765625
197132288,2.0372681e-10,2.484375
205520896,3.2014214e-10,2.4765625
213909504,9.313226e-10,2.27734375
222298112,8.440111e-10,1.7109375
230686720,4.656613e-10,1.84765625
239075328,3.2014214e-10,1.58203125
247463936,1.2805685e-09,2.28125
255852544,9.895302e-10,2.109375
264241152,6.4028427e-10,2.125
272629760,1.4551915e-10,1.69140625
281018368,5.2386895e-10,2.109375
289406976,4.0745363e-10,1.30078125
297795584,8.440111e-10,2.14453125
306184192,5.2386895e-10,1.98046875
314572800,5.820766e-10,2.16796875
322961408,8.731149e-10,2.3671875
331350016,8.731149e-10,2.00390625
339738624,6.1118044e-10,1.46484375
348127232,5.820766e-10,1.859375
356515840,1.3969839e-09,1.6171875
364904448,9.313226e-10,2.0625
373293056,9.0221874e-10,1.859375
381681664,9.313226e-10,1.125
390070272,1.1059456e-09,1.265625
398458880,1.2223609e-09,1.28515625
406847488,5.529728e-10,1.2890625
415236096,5.529728e-10,1.390625
423624704,4.947651e-10,1.9375
432013312,5.529728e-10,1.45703125
440401920,8.731149e-10,1.48046875
448790528,1.7462298e-10,1.3359375
457179136,4.656613e-10,2.16015625
465567744,3.783498e-10,1.49609375
473956352,9.895302e-10,2.06640625
482344960,5.820766e-10,2.18359375
490733568,7.858034e-10,2.0234375
499122176,5.529728e-10,1.40234375
