eval/total_steps,standardized_return_mean,achievements_mean
4194304,8.1490725e-10,2.58984375
12582912,9.313226e-10,2.30078125
20971520,5.529728e-10,3.265625
29360128,6.1118044e-10,3.64453125
37748736,2.910383e-11,3.95703125
46137344,0.0859375,5.42578125
54525952,0.92578125,6.49609375
62914560,0.9765625,8.02734375
71303168,0.98828125,8.5234375
79691776,0.9921875,9.02734375
88080384,1.0,8.7578125
96468992,1.0,8.1328125
104857600,0.98828125,9.07421875
113246208,0.98828125,8.96875
121634816,0.99609375,9.0078125
130023424,0.99609375,9.453125
138412032,0.99609375,9.2734375
146800640,1.0,9.7578125
155189248,1.0,10.7890625
163577856,1.0,9.4765625
171966464,0.99609375,8.16796875
180355072,1.0,9.83203125
188743680,1.0,10.96875
197132288,0.9921875,11.375
205520896,1.0,11.42578125
213909504,0.9921875,10.20703125
222298112,1.0,11.953125
230686720,1.0,11.2578125
239075328,0.9453125,9.62890625
247463936,1.0,11.546875
255852544,0.99609375,11.35546875
264241152,0.9921875,11.5
272629760,1.0,11.4765625
281018368,0.99609375,11.02734375
289406976,1.0,10.8984375
297795584,1.0,11.03515625
306184192,0.99609375,10.7421875
314572800,1.0,11.3203125
322961408,1.0,10.765625
331350016,1.0,10.86328125
339738624,1.0,11.9140625
348127232,0.9921875,12.51953125
356515840,1.0,12.8828125
364904448,1.0,12.67578125
373293056,0.99609375,11.91796875
381681664,1.0,11.3671875
390070272,0.99609375,13.17578125
398458880,1.0,13.70703125
406847488,0.99609375,11.984375
415236096,1.0,12.84765625
423624704,1.0,11.53515625
432013312,0.95703125,10.97265625
440401920,1.0,11.9296875
448790528,0.99609375,13.5
457179136,0.0039062514,2.55078125
465567744,0.98828125,13.6015625
473956352,0.98828125,14.52734375
482344960,0.99609375,14.3984375
490733568,0.99609375,12.28515625
499122176,0.9296875,14.48828125
