eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.820766e-10,0.76171875
12582912,0.0,0.96875
20971520,0.0,1.0546875
29360128,0.0,1.0859375
37748736,-2.910383e-11,1.05859375
46137344,8.731149e-11,1.04296875
54525952,-8.731149e-11,1.07421875
62914560,1.7462298e-10,0.9375
71303168,-2.0372681e-10,0.84375
79691776,0.0,0.80078125
88080384,1.1641532e-10,0.6015625
96468992,5.820766e-11,0.8984375
104857600,-2.0372681e-10,1.359375
113246208,1.7462298e-10,0.8359375
121634816,2.0372681e-10,1.8671875
130023424,2.6193447e-10,2.2890625
138412032,-2.0372681e-10,2.61328125
146800640,-2.910383e-11,2.5234375
155189248,3.783498e-10,2.90234375
163577856,-3.2014214e-10,2.703125
171966464,1.7462298e-10,3.1640625
180355072,-3.783498e-10,3.375
188743680,-2.6193447e-10,3.2421875
197132288,-2.910383e-10,3.1875
205520896,-1.7462298e-10,2.7109375
213909504,-3.783498e-10,3.77734375
222298112,0.0078125,3.3671875
230686720,0.00390625,3.27734375
239075328,0.0078125,3.0
247463936,0.01953125,3.56640625
255852544,0.03515625,3.20703125
264241152,0.1015625,3.44140625
272629760,0.16796875,3.6640625
281018368,0.234375,4.359375
289406976,0.375,4.703125
297795584,0.8046875,6.609375
306184192,0.9140625,7.01171875
314572800,0.9765625,7.07421875
322961408,0.890625,6.203125
331350016,0.9921875,7.2109375
339738624,0.9921875,7.1796875
348127232,0.9921875,7.73046875
356515840,0.99609375,6.8515625
364904448,0.984375,7.11328125
373293056,1.0,7.48828125
381681664,0.98828125,7.64453125
390070272,0.9921875,7.76953125
398458880,0.9921875,8.40625
406847488,1.0,7.9453125
415236096,0.984375,7.62109375
423624704,1.0,8.078125
432013312,0.9921875,7.62109375
440401920,1.0,7.9375
448790528,0.99609375,8.0625
457179136,1.0,8.3203125
465567744,1.0,8.02734375
473956352,1.0,8.24609375
482344960,0.99609375,8.4609375
490733568,1.0,8.76953125
499122176,0.9921875,8.30078125
