eval/total_steps,standardized_return_mean,achievements_mean
4194304,4.0745363e-10,3.890625
25165824,6.9849193e-10,2.96484375
46137344,4.656613e-10,2.953125
67108864,6.9849193e-10,3.64453125
88080384,6.1118044e-10,2.5078125
109051904,1.193257e-09,2.92578125
130023424,1.7462298e-09,3.08984375
150994944,0.0625,4.08984375
171966464,0.62109375,6.4375
192937984,0.953125,7.13671875
213909504,0.99609375,7.73828125
234881024,0.9765625,8.51171875
255852544,0.9921875,10.36328125
276824064,0.98828125,10.1484375
297795584,0.99609375,10.84765625
318767104,0.98046875,10.08984375
339738624,0.98828125,8.59375
360710144,0.94921875,10.40234375
381681664,1.0,10.58203125
402653184,1.0,9.8359375
423624704,1.0,9.95703125
444596224,0.9921875,10.41796875
465567744,0.2109375,5.984375
486539264,0.98828125,10.6953125
