run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
baseline_icm0+rnd0_seed1,baseline,0.0,0.0,1.0,1,4.3655745685100555e-10,1.23828125,histories/baseline_icm0+rnd0_seed1.csv,
baseline_icm0+rnd0_seed2,baseline,0.0,0.0,1.0,2,9.022187441587448e-10,1.05859375,histories/baseline_icm0+rnd0_seed2.csv,
baseline_icm0+rnd0_seed3,baseline,0.0,0.0,1.0,3,4.3655745685100555e-10,2.08984375,histories/baseline_icm0+rnd0_seed3.csv,
baseline_icm0+rnd0p125_seed1,baseline,0.0,0.125,0.88,1,5.529727786779404e-10,1.40234375,histories/baseline_icm0+rnd0p125_seed1.csv,
baseline_icm0+rnd0p125_seed2,baseline,0.0,0.125,0.88,2,4.3655745685100555e-10,1.70703125,histories/baseline_icm0+rnd0p125_seed2.csv,
baseline_icm0+rnd0p125_seed3,baseline,0.0,0.125,0.88,3,3.4924596548080444e-10,1.203125,histories/baseline_icm0+rnd0p125_seed3.csv,
baseline_icm0+rnd0p375_seed1,baseline,0.0,0.375,0.62,1,2.9103830456733704e-09,5.57421875,histories/baseline_icm0+rnd0p375_seed1.csv,
baseline_icm0+rnd0p375_seed2,baseline,0.0,0.375,0.62,2,0.99609375,9.65234375,histories/baseline_icm0+rnd0p375_seed2.csv,
baseline_icm0+rnd0p375_seed3,baseline,0.0,0.375,0.62,3,1.280568540096283e-09,3.80078125,histories/baseline_icm0+rnd0p375_seed3.csv,
baseline_icm0p125+rnd0p75_seed1,baseline,0.125,0.75,0.12,1,1.0,13.7265625,histories/baseline_icm0p125+rnd0p75_seed1.csv,
baseline_icm0p125+rnd0p75_seed2,baseline,0.125,0.75,0.12,2,0.98046875,13.578125,histories/baseline_icm0p125+rnd0p75_seed2.csv,
baseline_icm0p125+rnd0p75_seed3,baseline,0.125,0.75,0.12,3,0.984375,11.73046875,histories/baseline_icm0p125+rnd0p75_seed3.csv,
baseline_icm0p375+rnd0p5_seed1,baseline,0.375,0.5,0.12,1,0.99609375,12.8984375,histories/baseline_icm0p375+rnd0p5_seed1.csv,
baseline_icm0p375+rnd0p5_seed2,baseline,0.375,0.5,0.12,2,0.9921875,11.484375,histories/baseline_icm0p375+rnd0p5_seed2.csv,
baseline_icm0p375+rnd0p5_seed3,baseline,0.375,0.5,0.12,3,0.9765625,11.08984375,histories/baseline_icm0p375+rnd0p5_seed3.csv,
baseline_icm0p125+rnd0p5_seed1,baseline,0.125,0.5,0.38,1,0.9921875,12.77734375,histories/baseline_icm0p125+rnd0p5_seed1.csv,
baseline_icm0p125+rnd0p5_seed2,baseline,0.125,0.5,0.38,2,1.0,13.859375,histories/baseline_icm0p125+rnd0p5_seed2.csv,
baseline_icm0p125+rnd0p5_seed3,baseline,0.125,0.5,0.38,3,0.9296875,14.48828125,histories/baseline_icm0p125+rnd0p5_seed3.csv,
baseline_icm0p25+rnd0p5_seed1,baseline,0.25,0.5,0.25,1,0.99609375,12.90234375,histories/baseline_icm0p25+rnd0p5_seed1.csv,
baseline_icm0p25+rnd0p5_seed2,baseline,0.25,0.5,0.25,2,0.99609375,13.25390625,histories/baseline_icm0p25+rnd0p5_seed2.csv,
baseline_icm0p25+rnd0p5_seed3,baseline,0.25,0.5,0.25,3,0.9765625,12.29296875,histories/baseline_icm0p25+rnd0p5_seed3.csv,
baseline_icm0p375+rnd0_seed1,baseline,0.375,0.0,0.62,1,0.984375,8.46484375,histories/baseline_icm0p375+rnd0_seed1.csv,
baseline_icm0p375+rnd0_seed2,baseline,0.375,0.0,0.62,2,0.99609375,8.2265625,histories/baseline_icm0p375+rnd0_seed2.csv,
baseline_icm0p375+rnd0_seed3,baseline,0.375,0.0,0.62,3,0.99609375,9.32421875,histories/baseline_icm0p375+rnd0_seed3.csv,
baseline_icm0p75+rnd0p125_seed1,baseline,0.75,0.125,0.12,1,0.375,8.62890625,histories/baseline_icm0p75+rnd0p125_seed1.csv,
