run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
4194304,0.32061452,0.33861747,0.34076804
8388608,0.33897156,0.33208328,0.32894516
12582912,0.33456573,0.33009332,0.33534095
16777216,0.293653,0.3274685,0.37887847
20971520,0.3046651,0.33833227,0.35700262
25165824,0.2946915,0.32963914,0.3756694
29360128,0.27788138,0.34748533,0.3746333
33554432,0.26931635,0.34701347,0.3836702
37748736,0.25559765,0.36814564,0.37625667
41943040,0.2520737,0.36198795,0.38593835
46137344,0.23709697,0.38493496,0.3779681
50331648,0.22692883,0.38726383,0.38580734
54525952,0.22058398,0.40165973,0.3777563
58720256,0.21331552,0.41713452,0.36954996
62914560,0.2188606,0.4316212,0.34951818
67108864,0.24452528,0.43696514,0.3185096
71303168,0.23337919,0.44530353,0.3213173
75497472,0.23942217,0.44298077,0.31759706
79691776,0.22186553,0.46423036,0.3139041
83886080,0.21652025,0.4855091,0.29797065
88080384,0.22370128,0.48663065,0.28966808
92274688,0.20913088,0.51279086,0.2780783
96468992,0.21421313,0.5121914,0.27359548
100663296,0.20206137,0.52808434,0.2698543
104857600,0.21058646,0.5183947,0.27101886
109051904,0.19873726,0.512692,0.2885708
113246208,0.21394935,0.50326693,0.28278375
117440512,0.22992074,0.4748056,0.29527366
121634816,0.24417473,0.4722749,0.28355038
125829120,0.24885978,0.48255897,0.26858127
130023424,0.24805444,0.47853124,0.2734143
134217728,0.24686936,0.4687572,0.28437346
138412032,0.2512238,0.4803449,0.2684313
142606336,0.25900674,0.472206,0.26878724
146800640,0.27085918,0.46820134,0.26093948
150994944,0.29675332,0.43307447,0.2701722
155189248,0.31761172,0.40907925,0.273309
159383552,0.35354042,0.3703989,0.27606067
163577856,0.3429535,0.36590156,0.2911449
167772160,0.34250355,0.34402895,0.3134675
171966464,0.35095966,0.33751023,0.3115301
176160768,0.35775077,0.33914885,0.3031004
180355072,0.37128222,0.30579108,0.3229267
184549376,0.37714887,0.2896924,0.33315873
188743680,0.36968702,0.31594855,0.31436443
192937984,0.3543939,0.3021112,0.3434949
197132288,0.3459865,0.30570292,0.3483106
201326592,0.33036667,0.32698613,0.3426472
205520896,0.32578498,0.32861397,0.34560108
209715200,0.31740946,0.3399649,0.34262565
213909504,0.29102007,0.3411379,0.36784205
218103808,0.29324624,0.3389483,0.36780545
222298112,0.3004489,0.35819608,0.3413551
226492416,0.2784704,0.35624847,0.36528116
230686720,0.26999524,0.35494298,0.3750618
234881024,0.2514978,0.35109165,0.39741057
239075328,0.24539107,0.36392993,0.390679
243269632,0.26075816,0.37029928,0.36894253
247463936,0.2327959,0.38610372,0.3811004
251658240,0.1884425,0.41460308,0.39695442
255852544,0.16699922,0.43115076,0.40185004
260046848,0.17398863,0.4353133,0.39069805
264241152,0.1838277,0.4190235,0.3971488
268435456,0.19927472,0.40663114,0.39409414
272629760,0.18467562,0.39537945,0.41994494
276824064,0.17879322,0.42463273,0.39657405
281018368,0.1788598,0.38008863,0.4410516
285212672,0.21854761,0.3431314,0.43832102
289406976,0.24103862,0.3384389,0.4205225
293601280,0.2288307,0.31496984,0.45619947
297795584,0.18276592,0.29863727,0.5185969
301989888,0.14920186,0.28458554,0.56621265
306184192,0.13755867,0.27608544,0.5863559
310378496,0.14045088,0.27049735,0.5890517
314572800,0.1461034,0.29828832,0.5556083
318767104,0.14077666,0.32592344,0.5332999
322961408,0.14521205,0.33010787,0.52468
327155712,0.1582464,0.37291187,0.46884173
