eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.820766e-10,1.21484375
12582912,2.6193447e-10,0.6015625
20971520,1.2805685e-09,1.6640625
29360128,4.0745363e-10,0.86328125
37748736,5.820766e-11,0.90625
46137344,5.2386895e-10,1.11328125
54525952,4.656613e-10,1.07421875
62914560,0.0,0.5
71303168,6.4028427e-10,1.1875
79691776,3.4924597e-10,0.46484375
88080384,1.4551915e-10,0.6484375
96468992,0.0,0.0546875
104857600,0.0,0.2265625
113246208,6.693881e-10,1.0625
121634816,6.4028427e-10,1.3046875
130023424,3.2014214e-10,1.15625
138412032,6.1118044e-10,1.48828125
146800640,5.2386895e-10,1.25
155189248,3.4924597e-10,1.5703125
163577856,8.731149e-10,1.19140625
171966464,4.656613e-10,1.70703125
180355072,4.3655746e-10,1.9921875
188743680,5.2386895e-10,2.01171875
197132288,4.0745363e-10,1.609375
205520896,4.656613e-10,1.16796875
213909504,7.2759576e-10,1.640625
222298112,5.529728e-10,1.8984375
230686720,9.0221874e-10,1.1640625
239075328,2.0372681e-10,1.54296875
247463936,1.1641532e-10,1.5859375
255852544,4.656613e-10,1.79296875
264241152,1.1641532e-10,2.07421875
272629760,4.656613e-10,1.82421875
281018368,4.947651e-10,1.5234375
289406976,4.0745363e-10,1.26953125
297795584,2.910383e-10,1.08984375
306184192,7.858034e-10,1.34765625
314572800,4.947651e-10,1.4921875
322961408,3.4924597e-10,1.7265625
331350016,2.910383e-10,1.35546875
339738624,4.947651e-10,0.7734375
348127232,4.656613e-10,1.234375
356515840,2.0372681e-10,1.4609375
364904448,5.529728e-10,1.0
373293056,2.3283064e-10,1.66796875
381681664,7.2759576e-10,0.828125
390070272,5.529728e-10,1.109375
398458880,5.529728e-10,1.234375
406847488,4.947651e-10,0.99609375
415236096,3.4924597e-10,1.1796875
423624704,2.6193447e-10,1.24609375
432013312,3.2014214e-10,1.171875
440401920,3.2014214e-10,0.81640625
448790528,6.1118044e-10,0.96484375
457179136,3.783498e-10,0.703125
465567744,4.947651e-10,0.66015625
473956352,2.910383e-10,1.42578125
482344960,5.529728e-10,0.96875
490733568,4.947651e-10,1.15625
499122176,5.2386895e-10,1.32421875
507510784,7.2759576e-10,0.9765625
515899392,3.783498e-10,0.61328125
524288000,4.656613e-10,1.48046875
532676608,1.1641532e-10,0.8515625
541065216,1.7462298e-10,1.015625
549453824,3.783498e-10,1.1875
557842432,2.6193447e-10,1.14453125
566231040,5.820766e-10,1.20703125
574619648,6.9849193e-10,1.0078125
583008256,6.4028427e-10,1.08984375
591396864,7.2759576e-10,1.3359375
599785472,5.2386895e-10,0.96875
608174080,7.2759576e-10,1.10546875
616562688,2.3283064e-10,0.2421875
624951296,7.2759576e-10,1.1484375
633339904,5.2386895e-10,1.12109375
641728512,6.1118044e-10,1.43359375
650117120,2.6193447e-10,1.08203125
658505728,2.910383e-10,1.2578125
666894336,3.2014214e-10,1.3125
675282944,6.9849193e-10,1.35546875
683671552,1.4551915e-10,1.046875
692060160,5.2386895e-10,0.703125
700448768,7.2759576e-10,1.1953125
708837376,9.0221874e-10,1.03515625
717225984,9.895302e-10,1.32421875
725614592,3.4924597e-10,1.09375
734003200,5.820766e-10,1.11328125
742391808,4.656613e-10,1.13671875
750780416,1.7462298e-10,1.125
759169024,4.0745363e-10,1.8203125
767557632,2.3283064e-10,1.46484375
775946240,1.7462298e-10,1.09375
784334848,2.0372681e-10,1.2109375
792723456,3.783498e-10,0.95703125
801112064,6.4028427e-10,1.12109375
809500672,4.3655746e-10,1.0390625
817889280,0.0,1.3203125
826277888,2.910383e-10,0.9375
834666496,3.783498e-10,0.93359375
843055104,6.693881e-10,1.05859375
851443712,6.693881e-10,1.2421875
859832320,3.2014214e-10,0.94921875
868220928,9.0221874e-10,0.75390625
876609536,6.1118044e-10,0.93359375
884998144,4.656613e-10,1.03515625
893386752,1.193257e-09,0.91796875
901775360,8.440111e-10,0.80078125
910163968,7.2759576e-10,0.9765625
918552576,2.6193447e-10,1.36328125
926941184,4.656613e-10,1.07421875
935329792,2.910383e-10,1.97265625
943718400,2.3283064e-10,1.6796875
952107008,5.820766e-10,1.61328125
960495616,5.529728e-10,1.55078125
968884224,4.3655746e-10,1.2109375
977272832,4.3655746e-10,0.96875
985661440,8.1490725e-10,0.72265625
994050048,2.3283064e-10,1.18359375
1002438656,5.2386895e-10,0.875
