eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.4924597e-10,2.94921875
12582912,4.947651e-10,2.1171875
20971520,6.1118044e-10,2.6875
29360128,6.9849193e-10,1.7421875
37748736,3.4924597e-10,2.23046875
46137344,6.9849193e-10,2.34375
54525952,1.5133992e-09,1.74609375
62914560,4.656613e-10,1.84375
71303168,5.2386895e-10,2.21484375
79691776,1.4551915e-10,2.23046875
88080384,1.7462298e-10,2.0625
96468992,1.1641532e-10,2.05078125
104857600,4.656613e-10,2.18359375
113246208,2.6193447e-10,1.75390625
121634816,-5.820766e-11,2.015625
130023424,4.0745363e-10,1.42578125
138412032,1.1641532e-10,1.328125
146800640,0.0,1.8828125
155189248,-2.910383e-11,0.9375
163577856,6.9849193e-10,1.96875
171966464,5.820766e-10,1.7421875
180355072,1.0186341e-09,2.484375
188743680,7.858034e-10,1.39453125
197132288,6.9849193e-10,1.640625
205520896,9.0221874e-10,1.6875
213909504,6.1118044e-10,1.5703125
222298112,2.910383e-10,1.359375
230686720,2.6193447e-10,1.9453125
239075328,2.910383e-10,1.953125
247463936,4.947651e-10,1.953125
255852544,5.2386895e-10,1.83984375
264241152,6.9849193e-10,1.8203125
272629760,2.910383e-11,1.3671875
281018368,3.4924597e-10,1.88671875
289406976,2.6193447e-10,1.87890625
297795584,2.0372681e-10,2.11328125
306184192,3.2014214e-10,2.23828125
314572800,2.3283064e-10,1.51953125
322961408,5.2386895e-10,1.953125
331350016,2.6193447e-10,1.2890625
339738624,7.2759576e-10,1.890625
348127232,5.529728e-10,2.0
356515840,9.604264e-10,1.3203125
364904448,5.2386895e-10,1.0859375
373293056,1.0186341e-09,1.5859375
381681664,6.4028427e-10,1.453125
390070272,6.1118044e-10,1.484375
398458880,6.9849193e-10,1.7109375
406847488,4.3655746e-10,1.44921875
415236096,7.2759576e-10,1.75
423624704,4.656613e-10,2.1875
432013312,8.731149e-10,2.12890625
440401920,4.656613e-10,2.02734375
448790528,-8.731149e-11,1.75390625
457179136,2.0372681e-10,1.4453125
465567744,1.7462298e-10,1.80078125
473956352,2.6193447e-10,2.13671875
482344960,0.0,1.21484375
490733568,-1.1641532e-10,2.125
499122176,2.0372681e-10,1.9765625
507510784,6.4028427e-10,1.53515625
515899392,7.2759576e-10,1.96484375
524288000,5.2386895e-10,1.8828125
532676608,6.1118044e-10,1.80078125
541065216,3.783498e-10,1.73046875
549453824,2.910383e-10,1.921875
557842432,-2.910383e-11,2.1171875
566231040,9.895302e-10,1.40625
574619648,-2.910383e-11,2.05078125
583008256,8.731149e-11,1.9765625
591396864,0.0,2.015625
599785472,3.4924597e-10,1.890625
608174080,3.4924597e-10,2.09765625
616562688,5.529728e-10,1.87890625
624951296,4.0745363e-10,2.42578125
633339904,3.4924597e-10,2.125
641728512,2.6193447e-10,2.33203125
650117120,6.693881e-10,2.2265625
658505728,4.3655746e-10,2.25
666894336,1.9790605e-09,1.921875
675282944,1.9499566e-09,2.08984375
683671552,1.4260877e-09,2.08203125
692060160,2.3283064e-10,2.2578125
700448768,2.3283064e-10,2.109375
708837376,5.529728e-10,2.203125
717225984,7.566996e-10,2.0
725614592,4.0745363e-10,2.24609375
734003200,8.440111e-10,2.50390625
742391808,6.9849193e-10,2.4609375
750780416,3.4924597e-10,2.51953125
759169024,2.0372681e-10,2.48828125
767557632,3.4924597e-10,1.89453125
775946240,5.529728e-10,1.8984375
784334848,1.6880222e-09,1.796875
792723456,1.1641532e-10,1.91796875
801112064,4.0745363e-10,1.32421875
809500672,1.1641532e-10,1.75390625
817889280,1.7462298e-10,1.46484375
826277888,-2.0372681e-10,2.08203125
834666496,2.3283064e-10,2.046875
843055104,3.783498e-10,1.8984375
851443712,2.3283064e-10,2.19140625
859832320,1.6007107e-09,1.4921875
868220928,1.1641532e-10,2.15625
876609536,6.1118044e-10,1.84375
884998144,9.604264e-10,1.19921875
893386752,1.3969839e-09,1.80859375
901775360,3.2014214e-10,2.35546875
910163968,1.5133992e-09,1.5859375
918552576,2.5320332e-09,1.8671875
926941184,4.0745363e-10,2.30859375
935329792,3.3469405e-09,1.53515625
943718400,8.731149e-10,1.9921875
952107008,5.820766e-10,1.921875
960495616,7.858034e-10,2.63671875
968884224,1.193257e-09,1.51171875
977272832,7.566996e-10,2.01171875
985661440,4.0745363e-10,2.2578125
994050048,3.2014214e-10,1.8046875
1002438656,1.0768417e-09,1.88671875
