eval/total_steps,standardized_return_mean,achievements_mean
4194304,6.693881e-10,1.5390625
12582912,0.0,2.87890625
20971520,8.440111e-10,2.12109375
29360128,1.0768417e-09,2.30859375
37748736,1.2223609e-09,2.23828125
46137344,9.0221874e-10,2.77734375
54525952,8.731149e-11,2.0625
62914560,1.1641532e-09,1.49609375
71303168,4.0745363e-10,1.10546875
79691776,4.947651e-10,1.01953125
88080384,2.910383e-10,1.1171875
96468992,1.4551915e-10,1.52734375
104857600,5.2386895e-10,1.17578125
113246208,3.4924597e-10,1.33984375
121634816,3.4924597e-10,1.46484375
130023424,1.7462298e-10,1.37890625
138412032,4.3655746e-10,1.14453125
146800640,2.6193447e-10,1.45703125
155189248,1.7462298e-10,1.77734375
163577856,1.7462298e-10,1.03515625
171966464,2.6193447e-10,0.64453125
180355072,7.2759576e-10,1.37890625
188743680,3.783498e-10,2.59375
197132288,1.1641532e-10,2.46875
205520896,4.3655746e-10,1.45703125
213909504,2.0372681e-10,2.84375
222298112,1.1641532e-10,0.91015625
230686720,5.820766e-10,1.65625
239075328,1.0477379e-09,2.29296875
247463936,7.566996e-10,1.6953125
255852544,2.3283064e-10,1.0
264241152,5.820766e-11,1.47265625
272629760,8.731149e-10,2.11328125
281018368,0.00390625,2.1875
289406976,3.783498e-10,1.875
297795584,1.0768417e-09,2.12890625
306184192,1.1641532e-10,1.59765625
314572800,5.820766e-11,1.78515625
322961408,2.3283064e-10,1.4140625
331350016,4.0745363e-10,1.4375
339738624,4.947651e-10,1.72265625
348127232,3.783498e-10,1.7890625
356515840,6.693881e-10,1.7734375
364904448,4.0745363e-10,1.80078125
373293056,8.731149e-11,1.9296875
381681664,-2.0372681e-10,1.3125
390070272,-1.1641532e-10,1.9375
398458880,1.1641532e-10,1.4375
406847488,1.1641532e-10,1.6875
415236096,0.0078125,2.29296875
423624704,1.1641532e-10,2.375
432013312,3.4924597e-10,2.21875
440401920,1.7462298e-10,1.609375
448790528,2.0372681e-10,2.2890625
457179136,5.529728e-10,1.74609375
465567744,-1.4551915e-10,1.359375
473956352,3.2014214e-10,1.09765625
482344960,1.4551915e-10,1.90625
490733568,5.529728e-10,3.28125
499122176,2.3283064e-10,3.41015625
507510784,0.015625,2.0546875
515899392,0.1484375,2.98828125
524288000,0.3515625,4.05078125
532676608,0.578125,5.17578125
541065216,0.7890625,6.140625
549453824,0.8203125,6.8046875
557842432,0.8984375,7.34375
566231040,0.96875,7.58203125
574619648,0.99609375,7.5234375
583008256,0.9921875,7.53125
591396864,0.99609375,7.3359375
599785472,1.0,7.28515625
608174080,1.0,7.26171875
616562688,0.99609375,7.328125
624951296,0.9921875,7.4609375
633339904,1.0,7.30859375
641728512,0.9921875,7.47265625
650117120,1.0,7.40234375
658505728,0.9921875,7.265625
666894336,0.9921875,7.40625
675282944,1.0,7.609375
683671552,1.0,7.234375
692060160,1.0,7.6640625
700448768,1.0,7.62890625
708837376,1.0,7.1953125
717225984,1.0,6.98828125
725614592,0.99609375,7.125
734003200,1.0,7.25
742391808,0.98828125,7.09375
750780416,0.99609375,7.53125
759169024,0.9921875,7.08984375
767557632,0.99609375,7.02734375
775946240,1.0,7.1953125
784334848,0.9921875,7.37890625
792723456,0.99609375,7.61328125
801112064,0.99609375,7.28515625
809500672,0.99609375,7.27734375
817889280,1.0,7.359375
826277888,0.99609375,7.25
834666496,1.0,7.625
843055104,0.9921875,7.51171875
851443712,0.9921875,7.3984375
859832320,1.0,7.32421875
868220928,1.0,7.37109375
876609536,1.0,7.3046875
884998144,0.9921875,7.2421875
893386752,1.0,7.36328125
901775360,0.98828125,7.6328125
910163968,1.0,7.5703125
918552576,0.99609375,7.41796875
926941184,1.0,7.8046875
935329792,1.0,7.6953125
943718400,1.0,7.54296875
952107008,1.0,7.5859375
960495616,1.0,7.77734375
968884224,1.0,7.59765625
977272832,1.0,7.6015625
985661440,1.0,7.6640625
994050048,1.0,7.8359375
1002438656,1.0,7.68359375
