eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.1641532e-09,2.41796875
12582912,0.00390625,2.140625
20971520,-1.4551915e-10,1.8046875
29360128,0.00390625,3.4296875
37748736,0.0234375,3.71484375
46137344,0.03125,3.65625
54525952,0.78125,5.953125
62914560,0.98828125,6.25
71303168,0.984375,7.4921875
79691776,0.99609375,7.97265625
88080384,1.0,6.80859375
96468992,1.0,8.1796875
104857600,1.0,9.796875
113246208,1.0,10.0234375
121634816,0.94921875,8.71484375
130023424,0.87890625,9.11328125
138412032,1.0,9.21484375
146800640,0.9921875,10.39453125
155189248,1.0,11.0078125
163577856,1.0,10.68359375
171966464,0.99609375,9.74609375
180355072,1.0,9.55859375
188743680,0.95703125,10.1328125
197132288,0.99609375,10.2578125
205520896,0.99609375,11.27734375
213909504,1.0,11.4609375
222298112,0.99609375,11.2421875
230686720,1.0,10.875
239075328,0.9296875,8.75390625
247463936,1.0,10.46484375
255852544,1.0,11.0859375
264241152,1.0,11.6953125
272629760,1.0,11.3125
281018368,1.0,11.34765625
289406976,1.0,12.02734375
297795584,0.99609375,11.36328125
306184192,1.0,10.16796875
314572800,1.0,11.4609375
322961408,1.0,12.59375
331350016,0.98828125,12.37109375
339738624,0.328125,4.2265625
348127232,1.0,10.9609375
356515840,0.99609375,11.33203125
364904448,0.984375,9.203125
373293056,0.99609375,10.13671875
381681664,0.99609375,12.3046875
390070272,0.93359375,10.74609375
398458880,1.0,12.08203125
406847488,1.0390625,11.69921875
415236096,1.4804688,12.453125
423624704,1.6640625,13.42578125
432013312,1.8867188,13.0
440401920,1.890625,13.24609375
448790528,1.0,9.60546875
457179136,1.0351562,10.26953125
465567744,1.0820312,11.90234375
473956352,1.734375,14.03125
482344960,1.9375,13.28125
490733568,1.96875,13.63671875
499122176,1.9960938,14.3203125
507510784,1.9921875,13.70703125
515899392,1.9960938,13.703125
524288000,1.9960938,14.359375
532676608,1.9804688,13.62109375
541065216,1.9921875,14.26171875
549453824,1.9921875,13.8125
557842432,1.9882812,14.84765625
566231040,2.0,14.79296875
574619648,1.9960938,14.57421875
583008256,2.0,13.76953125
591396864,2.0,14.265625
599785472,1.9960938,15.2109375
608174080,1.9140625,13.765625
616562688,1.6835938,12.01953125
624951296,1.9804688,14.51953125
633339904,1.9960938,14.9296875
641728512,1.9960938,14.33203125
650117120,1.9882812,14.30078125
658505728,1.953125,15.0625
666894336,1.9960938,15.21875
675282944,1.984375,15.09765625
683671552,2.0,14.49609375
692060160,1.9882812,14.875
700448768,2.0,14.89453125
708837376,2.0,14.25390625
717225984,1.9960938,14.75390625
725614592,1.9960938,15.40234375
734003200,1.9921875,15.4921875
742391808,1.9960938,14.734375
750780416,1.9960938,15.10546875
759169024,1.9726562,15.19140625
767557632,1.9882812,12.4921875
775946240,1.9882812,14.4609375
784334848,1.9921875,14.515625
792723456,1.3828125,9.55859375
801112064,1.9960938,15.6640625
809500672,1.5351562,12.51953125
817889280,1.9960938,15.27734375
826277888,1.9960938,14.82421875
834666496,1.9921875,15.3359375
843055104,2.0,14.9921875
851443712,1.9921875,15.05078125
859832320,1.9882812,13.453125
868220928,1.9882812,14.62109375
876609536,1.9804688,14.65625
884998144,1.5,12.02734375
893386752,1.9726562,13.87109375
901775360,1.9882812,14.45703125
910163968,2.0,14.6640625
918552576,1.9921875,14.359375
926941184,2.0,13.56640625
935329792,2.0,15.4140625
943718400,1.9257812,15.4375
952107008,2.0,14.171875
960495616,1.9960938,14.53515625
968884224,1.9960938,14.1953125
977272832,1.9960938,14.2265625
985661440,1.9960938,14.75
994050048,2.0,13.9921875
1002438656,2.0,13.828125
