eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.783498e-10,3.734375
25165824,0.0039062505,2.83984375
46137344,5.820766e-10,3.22265625
67108864,3.4924597e-10,2.765625
88080384,5.820766e-10,3.57421875
109051904,3.783498e-10,1.6875
130023424,6.693881e-10,1.91015625
150994944,0.08984375,3.28125
171966464,0.6953125,5.94921875
192937984,0.9765625,7.890625
213909504,0.98828125,8.77734375
234881024,0.98828125,7.94140625
255852544,0.9921875,8.80078125
276824064,1.0,7.8359375
297795584,1.0,9.0
318767104,1.0,9.11328125
339738624,0.9921875,8.53515625
360710144,0.99609375,9.65625
381681664,0.99609375,9.8203125
402653184,1.0,10.4609375
423624704,0.9921875,10.84375
444596224,0.99609375,9.96484375
465567744,0.984375,11.2421875
486539264,1.0,11.95703125
507510784,0.99609375,12.40234375
528482304,0.88671875,10.6796875
549453824,0.99609375,12.59375
570425344,0.9921875,11.359375
591396864,0.98828125,13.1328125
612368384,1.0,13.35546875
633339904,1.0078125,12.98046875
654311424,0.99609375,12.85546875
675282944,1.0195312,12.75390625
696254464,1.015625,13.55078125
717225984,1.453125,13.5859375
738197504,1.421875,13.265625
759169024,1.8710938,14.8515625
780140544,1.9492188,14.3515625
801112064,1.9648438,14.09375
822083584,1.9609375,13.89453125
843055104,1.9492188,14.01953125
864026624,1.96875,14.26953125
884998144,1.9296875,14.1640625
905969664,1.9492188,14.15625
926941184,1.9726562,15.43359375
947912704,1.9921875,15.296875
968884224,1.96875,16.23046875
989855744,1.9726562,15.484375
