run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
baseline_icm0+rnd0_seed1,baseline,0.0,0.0,1.0,1,3.2014213502407074e-10,1.33203125,histories/baseline_icm0+rnd0_seed1.csv,
baseline_icm0+rnd0_seed2,baseline,0.0,0.0,1.0,2,5.238689482212067e-10,0.875,histories/baseline_icm0+rnd0_seed2.csv,
baseline_icm0+rnd0_seed3,baseline,0.0,0.0,1.0,3,2.6193447411060333e-10,2.34765625,histories/baseline_icm0+rnd0_seed3.csv,
baseline_icm0+rnd0p375_seed1,baseline,0.0,0.375,0.62,1,0.99609375,9.80859375,histories/baseline_icm0+rnd0p375_seed1.csv,
baseline_icm0+rnd0p375_seed2,baseline,0.0,0.375,0.62,2,1.9921875,15.47265625,histories/baseline_icm0+rnd0p375_seed2.csv,
baseline_icm0+rnd0p375_seed3,baseline,0.0,0.375,0.62,3,0.99609375,10.12890625,histories/baseline_icm0+rnd0p375_seed3.csv,
baseline_icm0p125+rnd0_seed1,baseline,0.125,0.0,0.88,1,1.0,7.68359375,histories/baseline_icm0p125+rnd0_seed1.csv,
baseline_icm0p125+rnd0_seed2,baseline,0.125,0.0,0.88,2,1.0,6.34765625,histories/baseline_icm0p125+rnd0_seed2.csv,
baseline_icm0p125+rnd0_seed3,baseline,0.125,0.0,0.88,3,1.0,7.4375,histories/baseline_icm0p125+rnd0_seed3.csv,
baseline_icm0+rnd0p5_seed1,baseline,0.0,0.5,0.5,1,1.96484375,15.5703125,histories/baseline_icm0+rnd0p5_seed1.csv,
baseline_icm0+rnd0p5_seed2,baseline,0.0,0.5,0.5,2,1.9921875,13.85546875,histories/baseline_icm0+rnd0p5_seed2.csv,
baseline_icm0+rnd0p5_seed3,baseline,0.0,0.5,0.5,3,1.0,13.19140625,histories/baseline_icm0+rnd0p5_seed3.csv,
baseline_icm0p125+rnd0p25_seed1,baseline,0.125,0.25,0.62,1,1.046875,9.36328125,histories/baseline_icm0p125+rnd0p25_seed1.csv,
baseline_icm0p125+rnd0p25_seed2,baseline,0.125,0.25,0.62,2,1.99609375,14.90234375,histories/baseline_icm0p125+rnd0p25_seed2.csv,
baseline_icm0p125+rnd0p25_seed3,baseline,0.125,0.25,0.62,3,1.97265625,14.0,histories/baseline_icm0p125+rnd0p25_seed3.csv,
baseline_icm0p375+rnd0p375_seed1,baseline,0.375,0.375,0.25,1,1.0,12.34375,histories/baseline_icm0p375+rnd0p375_seed1.csv,
baseline_icm0p375+rnd0p375_seed2,baseline,0.375,0.375,0.25,2,1.69140625,13.68359375,histories/baseline_icm0p375+rnd0p375_seed2.csv,
baseline_icm0p375+rnd0p375_seed3,baseline,0.375,0.375,0.25,3,0.99609375,11.08203125,histories/baseline_icm0p375+rnd0p375_seed3.csv,
